Saved path: cafe, bookstore, burger_joint, gym, pet_store, music_store, bakery, party_store, jewelry_store, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop : 55651
Saved path: cafe, burger_joint, bookstore, tech_shop, grocery_store, noodle_house, salon, barber_shop, bakery, party_store, pharmacy, gelateria, music_store, pizzeria, dentist : 55382
Saved path: burger_joint, tech_shop, grocery_store, noodle_house, barber_shop, party_store, bakery, music_store, bank, gelateria, pet_store, pizzeria, dentist, cafe, bookstore : 64400
Saved path: toy_store, clothing_store, grocery_store, tech_shop, pizzeria, bookstore, burger_joint, gym, craft_shop, pet_store, gelateria, music_store, party_store, bakery, barber_shop : 59378
Saved path: bookstore, cafe, noodle_house, clothing_store, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, party_store, jewelry_store, hardware_store, gym : 56850
Saved path: bank, gelateria, florist, craft_shop, pizzeria, tech_shop, cafe, bookstore, grocery_store, clothing_store, salon, jewelry_store, bike_shop, bakery, pharmacy : 62690
Saved path: jewelry_store, party_store, bakery, barber_shop, salon, toy_store, burger_joint, bookstore, cafe, dentist, pet_store, gelateria, bank, music_store, bike_shop : 66510
Saved path: gelateria, florist, pizzeria, dentist, cafe, tech_shop, clothing_store, noodle_house, bookstore, gym, bike_shop, jewelry_store, party_store, pharmacy, bank : 65690
Saved path: pharmacy, bank, gelateria, craft_shop, pizzeria, cafe, bookstore, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, party_store, bakery : 61899
Saved path: clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, gym, pet_store, florist, craft_shop, dentist, cafe, bookstore, burger_joint : 58854
Saved path: pizzeria, dentist, grocery_store, bookstore, burger_joint, gym, hardware_store, salon, barber_shop, bike_shop, party_store, pharmacy, music_store, florist, craft_shop : 58578
Saved path: craft_shop, florist, music_store, gelateria, pharmacy, hardware_store, jewelry_store, bakery, barber_shop, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist : 55985
Saved path: barber_shop, toy_store, noodle_house, tech_shop, pizzeria, dentist, bookstore, gym, craft_shop, pet_store, bank, music_store, pharmacy, bakery, jewelry_store : 70549
Saved path: grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, gym, hardware_store, bakery, pharmacy, florist, pet_store, craft_shop, pizzeria, dentist : 47575
Saved path: toy_store, salon, noodle_house, clothing_store, cafe, pizzeria, pet_store, bank, gelateria, bakery, party_store, bike_shop, hardware_store, gym, burger_joint : 65510
Saved path: dentist, pizzeria, gym, florist, bank, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, cafe : 69279
Saved path: bookstore, gym, florist, gelateria, pharmacy, bakery, party_store, jewelry_store, salon, toy_store, clothing_store, tech_shop, pizzeria, dentist, cafe : 58046
Saved path: tech_shop, dentist, craft_shop, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, hardware_store, toy_store, noodle_house, clothing_store : 58779
Saved path: grocery_store, tech_shop, dentist, pizzeria, craft_shop, florist, gym, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, burger_joint : 58973
Saved path: bakery, hardware_store, gym, florist, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, grocery_store, noodle_house, salon, jewelry_store : 59673
Saved path: grocery_store, clothing_store, noodle_house, toy_store, bookstore, burger_joint, hardware_store, bike_shop, party_store, bakery, pharmacy, music_store, craft_shop, pizzeria, tech_shop : 49276
Saved path: party_store, bike_shop, pharmacy, music_store, bank, florist, pet_store, pizzeria, dentist, tech_shop, noodle_house, bookstore, burger_joint, gym, hardware_store : 66382
Saved path: toy_store, clothing_store, grocery_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym, pet_store, bank, music_store, bakery, jewelry_store, barber_shop : 69211
Saved path: noodle_house, clothing_store, tech_shop, cafe, bookstore, burger_joint, bakery, gelateria, music_store, florist, pet_store, craft_shop, gym, toy_store, salon : 46551
Saved path: barber_shop, salon, noodle_house, clothing_store, tech_shop, pizzeria, dentist, cafe, bookstore, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, bank : 70915
Saved path: bank, music_store, pharmacy, bakery, gym, toy_store, salon, noodle_house, clothing_store, grocery_store, bookstore, cafe, tech_shop, pizzeria, pet_store : 57106
Saved path: bookstore, burger_joint, hardware_store, gym, gelateria, pharmacy, bakery, barber_shop, salon, toy_store, noodle_house, grocery_store, pizzeria, dentist, cafe : 50845
