Saved path: bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, burger_joint, noodle_house, clothing_store, grocery_store, dentist, pet_store, florist, gelateria, pharmacy : 54941
Saved path: noodle_house, clothing_store, burger_joint, bookstore, cafe, pizzeria, craft_shop, pet_store, gelateria, pharmacy, bike_shop, party_store, hardware_store, gym, toy_store : 53835
Saved path: party_store, bakery, bank, florist, hardware_store, burger_joint, bookstore, dentist, pizzeria, tech_shop, grocery_store, noodle_house, salon, barber_shop, bike_shop : 68238
Saved path: florist, pet_store, gym, hardware_store, burger_joint, dentist, pizzeria, tech_shop, noodle_house, toy_store, barber_shop, bakery, pharmacy, gelateria, music_store : 55155
Saved path: bike_shop, barber_shop, toy_store, noodle_house, tech_shop, pizzeria, dentist, cafe, burger_joint, gym, craft_shop, music_store, pharmacy, bakery, party_store : 57166
Saved path: pharmacy, bank, music_store, craft_shop, pizzeria, tech_shop, cafe, bookstore, clothing_store, noodle_house, salon, toy_store, gym, hardware_store, jewelry_store : 66465
Saved path: barber_shop, salon, toy_store, tech_shop, bookstore, burger_joint, hardware_store, gym, craft_shop, pet_store, gelateria, music_store, pharmacy, bakery, jewelry_store : 57596
Saved path: jewelry_store, party_store, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store, cafe, tech_shop, pizzeria, craft_shop, gelateria, bank, music_store : 64044
Saved path: party_store, jewelry_store, barber_shop, salon, toy_store, burger_joint, cafe, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, gelateria, music_store : 60094
Saved path: pizzeria, tech_shop, bookstore, burger_joint, toy_store, clothing_store, noodle_house, salon, barber_shop, bakery, bike_shop, hardware_store, gym, pet_store, craft_shop : 49780
Saved path: noodle_house, clothing_store, grocery_store, burger_joint, hardware_store, gym, pizzeria, music_store, bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop : 67743
Saved path: cafe, burger_joint, bookstore, tech_shop, clothing_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, gelateria, bank, pet_store, craft_shop, dentist : 66512
Saved path: pharmacy, bakery, party_store, barber_shop, toy_store, noodle_house, grocery_store, pizzeria, dentist, bookstore, burger_joint, gym, pet_store, bank, gelateria : 66914
Saved path: hardware_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, burger_joint, dentist, pet_store, florist, gym : 60483
Saved path: jewelry_store, party_store, hardware_store, gym, bookstore, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store, pizzeria, craft_shop, florist, bank : 68207
Saved path: pharmacy, gelateria, florist, pet_store, gym, hardware_store, burger_joint, cafe, dentist, pizzeria, noodle_house, salon, barber_shop, jewelry_store, party_store : 63793
Saved path: pet_store, florist, bank, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, gym, toy_store, noodle_house, bookstore, cafe, dentist, pizzeria : 67325
Saved path: gym, music_store, bank, gelateria, pharmacy, jewelry_store, bike_shop, barber_shop, salon, noodle_house, grocery_store, tech_shop, dentist, cafe, bookstore : 66773
Saved path: pet_store, gym, burger_joint, bookstore, tech_shop, clothing_store, noodle_house, toy_store, hardware_store, party_store, jewelry_store, pharmacy, gelateria, bank, florist : 61240
Saved path: burger_joint, hardware_store, noodle_house, salon, barber_shop, jewelry_store, bakery, pharmacy, bank, gelateria, florist, pet_store, craft_shop, pizzeria, bookstore : 70208
Saved path: bike_shop, party_store, bakery, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, salon, gym : 56605
Saved path: craft_shop, florist, music_store, bakery, jewelry_store, bike_shop, barber_shop, salon, hardware_store, gym, burger_joint, bookstore, cafe, dentist, pizzeria : 59453
Saved path: burger_joint, dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, jewelry_store, barber_shop, salon, noodle_house, toy_store, hardware_store : 68465
Saved path: music_store, florist, pet_store, craft_shop, gym, burger_joint, cafe, tech_shop, toy_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy : 53230
Saved path: pizzeria, florist, gelateria, bank, pet_store, gym, hardware_store, jewelry_store, bakery, barber_shop, salon, toy_store, clothing_store, grocery_store, cafe : 68006
Saved path: grocery_store, tech_shop, burger_joint, craft_shop, pet_store, florist, gelateria, bank, music_store, pharmacy, bakery, party_store, bike_shop, salon, toy_store : 61635
Saved path: bank, music_store, pharmacy, jewelry_store, barber_shop, salon, toy_store, hardware_store, burger_joint, cafe, tech_shop, clothing_store, dentist, pet_store, gelateria : 68416
Saved path: party_store, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store, craft_shop, pizzeria, clothing_store, noodle_house, salon, hardware_store, gym : 63545
