Saved path: burger_joint, bookstore, grocery_store, clothing_store, barber_shop, party_store, jewelry_store, music_store, bank, florist, pet_store, craft_shop, pizzeria, tech_shop, cafe : 69052
Saved path: bike_shop, barber_shop, salon, toy_store, hardware_store, gym, burger_joint, bookstore, dentist, pet_store, gelateria, bank, music_store, pharmacy, bakery : 61572
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, bakery, gym, florist, music_store, gelateria, pet_store, craft_shop, pizzeria, tech_shop, bookstore, grocery_store : 63771
Saved path: gelateria, pharmacy, party_store, hardware_store, salon, noodle_house, clothing_store, tech_shop, cafe, bookstore, craft_shop, pet_store, florist, music_store, bank : 58037
Saved path: pharmacy, music_store, gelateria, florist, pet_store, craft_shop, gym, bookstore, dentist, tech_shop, clothing_store, noodle_house, barber_shop, jewelry_store, bakery : 61041
Saved path: clothing_store, cafe, tech_shop, pizzeria, craft_shop, gym, pet_store, florist, gelateria, pharmacy, party_store, bakery, barber_shop, salon, noodle_house : 56115
Saved path: jewelry_store, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store, craft_shop, hardware_store, bookstore, grocery_store, clothing_store, salon, barber_shop : 64616
Saved path: bookstore, cafe, clothing_store, tech_shop, pizzeria, florist, gelateria, music_store, bakery, party_store, jewelry_store, hardware_store, salon, toy_store, burger_joint : 58170
Saved path: salon, noodle_house, tech_shop, pizzeria, dentist, bookstore, gym, craft_shop, florist, bank, pharmacy, bakery, bike_shop, party_store, jewelry_store : 69488
Saved path: bike_shop, jewelry_store, party_store, hardware_store, gym, burger_joint, toy_store, grocery_store, tech_shop, dentist, craft_shop, pet_store, florist, music_store, pharmacy : 56765
Saved path: pet_store, bank, florist, pizzeria, tech_shop, cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, party_store, gym : 68182
Saved path: pharmacy, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, burger_joint, bookstore, grocery_store, noodle_house, salon, hardware_store, party_store, bakery : 55141
Saved path: jewelry_store, bike_shop, gym, burger_joint, cafe, bookstore, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, florist, music_store, pharmacy, bakery : 52844
Saved path: bakery, jewelry_store, bike_shop, barber_shop, salon, noodle_house, grocery_store, tech_shop, dentist, cafe, hardware_store, gym, pet_store, gelateria, pharmacy : 59530
Saved path: bank, music_store, pharmacy, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, hardware_store, gym, gelateria : 57342
Saved path: tech_shop, cafe, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, music_store, florist, pizzeria, dentist, clothing_store, grocery_store : 60101
Saved path: pizzeria, dentist, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, salon, jewelry_store, bike_shop, bakery, pharmacy, florist, craft_shop : 54422
Saved path: bookstore, cafe, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, bike_shop, jewelry_store, barber_shop, noodle_house, toy_store, burger_joint : 60813
Saved path: toy_store, salon, noodle_house, clothing_store, tech_shop, pizzeria, pet_store, florist, bank, gelateria, jewelry_store, bike_shop, hardware_store, burger_joint, bookstore : 70251
Saved path: barber_shop, jewelry_store, bakery, bank, craft_shop, gym, bookstore, dentist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon : 69725
Saved path: tech_shop, cafe, bookstore, burger_joint, clothing_store, salon, toy_store, gym, party_store, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria : 56426
Saved path: bookstore, burger_joint, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, florist, pet_store, craft_shop, pizzeria, dentist, cafe : 61650
Saved path: gym, tech_shop, grocery_store, noodle_house, salon, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, gelateria, music_store, florist, pet_store, craft_shop : 58042
Saved path: clothing_store, grocery_store, tech_shop, cafe, burger_joint, bookstore, dentist, pizzeria, pet_store, florist, bank, pharmacy, bike_shop, salon, toy_store : 62573
Saved path: craft_shop, bank, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, pizzeria, bookstore, burger_joint, hardware_store, gym : 70285
Saved path: barber_shop, party_store, bakery, pharmacy, music_store, florist, pet_store, craft_shop, dentist, tech_shop, clothing_store, noodle_house, burger_joint, hardware_store, salon : 57233
Saved path: gelateria, bank, florist, dentist, tech_shop, grocery_store, clothing_store, bookstore, burger_joint, hardware_store, toy_store, salon, barber_shop, party_store, jewelry_store : 68286
Saved path: pharmacy, gelateria, pet_store, pizzeria, gym, burger_joint, bookstore, grocery_store, noodle_house, salon, hardware_store, party_store, jewelry_store, bike_shop, bakery : 62123
Saved path: barber_shop, bakery, party_store, bike_shop, gelateria, bank, music_store, florist, pet_store, pizzeria, dentist, burger_joint, tech_shop, grocery_store, noodle_house : 66502
Saved path: jewelry_store, party_store, pharmacy, gelateria, florist, pet_store, craft_shop, gym, hardware_store, cafe, dentist, grocery_store, toy_store, salon, barber_shop : 61072
Saved path: craft_shop, pizzeria, dentist, bookstore, burger_joint, noodle_house, salon, jewelry_store, bike_shop, pharmacy, gelateria, bank, music_store, florist, gym : 67343
Saved path: jewelry_store, party_store, bakery, pharmacy, gelateria, florist, pet_store, pizzeria, dentist, cafe, burger_joint, bookstore, tech_shop, clothing_store, salon : 59539
Saved path: hardware_store, barber_shop, bike_shop, party_store, bakery, bank, gelateria, florist, pizzeria, dentist, tech_shop, grocery_store, cafe, bookstore, burger_joint : 64710
Saved path: dentist, pizzeria, craft_shop, florist, bank, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, grocery_store, bookstore, burger_joint : 66601
Saved path: tech_shop, grocery_store, clothing_store, cafe, bookstore, burger_joint, bakery, bike_shop, jewelry_store, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria : 50119
Saved path: tech_shop, grocery_store, clothing_store, toy_store, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, bank, gelateria, craft_shop, pizzeria, dentist, cafe : 59288
Saved path: jewelry_store, party_store, bakery, barber_shop, noodle_house, clothing_store, grocery_store, cafe, tech_shop, pizzeria, pet_store, florist, bank, gelateria, bike_shop : 67261
Saved path: pharmacy, gelateria, pet_store, pizzeria, bookstore, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, hardware_store, jewelry_store, party_store, bakery : 60004
Saved path: pet_store, craft_shop, dentist, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, party_store, jewelry_store, bike_shop, pharmacy, bank, music_store, florist : 62551
Saved path: bank, music_store, pharmacy, bakery, barber_shop, hardware_store, toy_store, clothing_store, grocery_store, bookstore, pizzeria, craft_shop, pet_store, florist, gelateria : 59678
