Saved path: party_store, bike_shop, barber_shop, salon, toy_store, bookstore, cafe, hardware_store, gym, craft_shop, pet_store, gelateria, music_store, pharmacy, bakery : 54929
Saved path: florist, music_store, craft_shop, dentist, cafe, tech_shop, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, hardware_store, gym : 59149
Saved path: gelateria, florist, pet_store, craft_shop, gym, hardware_store, cafe, dentist, pizzeria, tech_shop, clothing_store, barber_shop, bike_shop, jewelry_store, pharmacy : 63517
Saved path: barber_shop, pharmacy, gelateria, florist, pet_store, gym, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon : 49923
Saved path: bookstore, cafe, dentist, craft_shop, florist, gelateria, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon, toy_store, clothing_store, burger_joint : 53773
Saved path: pizzeria, craft_shop, florist, music_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, hardware_store, salon, toy_store, bookstore, tech_shop : 63544
Saved path: grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop, gym, florist, bank, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store : 67499
Saved path: music_store, bank, gelateria, craft_shop, gym, burger_joint, bookstore, dentist, pizzeria, grocery_store, clothing_store, noodle_house, barber_shop, party_store, bakery : 64440
Saved path: burger_joint, hardware_store, bike_shop, jewelry_store, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, craft_shop, pet_store, bookstore : 54887
Saved path: pharmacy, music_store, gelateria, pet_store, craft_shop, gym, bookstore, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, bike_shop, bakery : 55761
Saved path: clothing_store, toy_store, salon, bakery, pharmacy, music_store, gelateria, florist, craft_shop, gym, burger_joint, bookstore, cafe, dentist, grocery_store : 46304
Saved path: pharmacy, bakery, bike_shop, jewelry_store, salon, toy_store, clothing_store, grocery_store, burger_joint, pizzeria, craft_shop, pet_store, florist, gelateria, music_store : 59653
Saved path: jewelry_store, party_store, bike_shop, bakery, pharmacy, gelateria, florist, pet_store, pizzeria, dentist, cafe, burger_joint, gym, hardware_store, salon : 61216
Saved path: salon, jewelry_store, party_store, bike_shop, bakery, gym, florist, music_store, gelateria, pet_store, dentist, tech_shop, grocery_store, clothing_store, noodle_house : 60567
Saved path: music_store, bank, gelateria, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon, toy_store, burger_joint, grocery_store, dentist, pet_store, florist : 66678
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bakery, pharmacy, music_store, bank, florist, pet_store, gym, hardware_store, cafe, dentist : 57933
Saved path: hardware_store, barber_shop, bike_shop, bakery, gelateria, music_store, florist, pet_store, craft_shop, dentist, tech_shop, grocery_store, clothing_store, cafe, bookstore : 53825
Saved path: gelateria, florist, pet_store, craft_shop, pizzeria, tech_shop, burger_joint, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy : 59144
Saved path: cafe, pizzeria, craft_shop, music_store, bank, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, hardware_store, burger_joint, bookstore : 68513
Saved path: burger_joint, cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, bakery, party_store, jewelry_store, bike_shop, music_store, gelateria, pet_store : 57450
Saved path: salon, clothing_store, grocery_store, cafe, bookstore, burger_joint, gym, pizzeria, craft_shop, pet_store, bank, pharmacy, bike_shop, party_store, jewelry_store : 69636
Saved path: craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, bookstore, cafe, burger_joint, gym, bike_shop, jewelry_store, pharmacy, bank, florist : 61966
Saved path: bike_shop, barber_shop, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, hardware_store, gym, gelateria, pharmacy, bakery, party_store : 57136
Saved path: toy_store, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, florist, bank, pharmacy, jewelry_store, barber_shop, salon, hardware_store, burger_joint : 67759
Saved path: burger_joint, tech_shop, grocery_store, clothing_store, toy_store, salon, hardware_store, bike_shop, party_store, bakery, pharmacy, music_store, bank, pet_store, bookstore : 58739
Saved path: clothing_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, bank, pet_store, gym, burger_joint, bookstore, cafe, dentist, pizzeria : 68233
Saved path: craft_shop, dentist, bookstore, gym, toy_store, noodle_house, barber_shop, jewelry_store, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store : 68471
Saved path: jewelry_store, party_store, pharmacy, gelateria, bank, music_store, florist, pet_store, craft_shop, dentist, burger_joint, hardware_store, noodle_house, barber_shop, bike_shop : 69632
Saved path: florist, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, hardware_store, gym : 60317
Saved path: pet_store, florist, gelateria, bank, music_store, pharmacy, bakery, party_store, hardware_store, salon, clothing_store, grocery_store, burger_joint, cafe, dentist : 60926
Saved path: toy_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, pharmacy, florist, pizzeria, dentist, cafe, bookstore, burger_joint, gym, hardware_store : 52244
Saved path: pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store, hardware_store, burger_joint, bookstore, tech_shop, pizzeria, craft_shop, pet_store, bank : 66049
Saved path: clothing_store, grocery_store, tech_shop, cafe, bookstore, florist, music_store, bank, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house : 60939
Saved path: bookstore, dentist, pizzeria, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, music_store, florist, craft_shop, gym, burger_joint : 61759
Saved path: craft_shop, pizzeria, dentist, tech_shop, bookstore, burger_joint, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, gym, pet_store : 60016
Saved path: pharmacy, bakery, party_store, bike_shop, barber_shop, hardware_store, toy_store, clothing_store, bookstore, cafe, dentist, pizzeria, craft_shop, music_store, bank : 65601
Saved path: noodle_house, tech_shop, cafe, bookstore, burger_joint, hardware_store, gym, pet_store, florist, pharmacy, bakery, jewelry_store, barber_shop, salon, toy_store : 55026
Saved path: clothing_store, bookstore, burger_joint, hardware_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, music_store, bank, pizzeria, dentist, grocery_store : 70627
Saved path: music_store, florist, dentist, tech_shop, cafe, bookstore, burger_joint, hardware_store, noodle_house, barber_shop, jewelry_store, bakery, pharmacy, gelateria, bank : 65376
Saved path: florist, pet_store, pizzeria, dentist, grocery_store, noodle_house, toy_store, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, gelateria, bank, music_store : 63215
Saved path: burger_joint, dentist, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, pet_store, gym, hardware_store : 62146
Saved path: grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, hardware_store, gym, pet_store, gelateria, music_store, dentist, tech_shop : 63240
Saved path: pharmacy, bank, gelateria, florist, pizzeria, dentist, cafe, grocery_store, noodle_house, bookstore, burger_joint, hardware_store, jewelry_store, party_store, bakery : 60951
Saved path: burger_joint, tech_shop, dentist, pizzeria, pet_store, bank, florist, gym, hardware_store, bike_shop, party_store, bakery, barber_shop, noodle_house, toy_store : 69938
Saved path: toy_store, grocery_store, tech_shop, pizzeria, bookstore, burger_joint, gym, pet_store, gelateria, bank, music_store, bakery, party_store, jewelry_store, salon : 69967
Saved path: bookstore, grocery_store, dentist, pizzeria, craft_shop, pet_store, florist, bank, music_store, pharmacy, bakery, bike_shop, barber_shop, gym, burger_joint : 64060
Saved path: cafe, bookstore, toy_store, noodle_house, salon, jewelry_store, bike_shop, pharmacy, bank, gelateria, florist, pet_store, craft_shop, pizzeria, dentist : 68205
Saved path: cafe, pizzeria, craft_shop, florist, gelateria, bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, burger_joint, toy_store, noodle_house, clothing_store : 60585
Saved path: music_store, florist, craft_shop, gym, burger_joint, tech_shop, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, jewelry_store, gelateria, bank : 63793
Saved path: burger_joint, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, gelateria, pharmacy, party_store, jewelry_store, barber_shop, hardware_store : 58987
Saved path: pizzeria, craft_shop, pet_store, florist, music_store, bank, gelateria, pharmacy, party_store, bakery, barber_shop, clothing_store, bookstore, burger_joint, gym : 66959
Saved path: pharmacy, bank, music_store, pizzeria, tech_shop, cafe, bookstore, burger_joint, toy_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store : 64552
Saved path: craft_shop, dentist, cafe, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bakery, pharmacy, music_store, bank, florist, pet_store : 64481
Saved path: noodle_house, toy_store, burger_joint, gym, hardware_store, jewelry_store, party_store, pharmacy, bank, gelateria, craft_shop, pizzeria, dentist, cafe, grocery_store : 62815
Saved path: grocery_store, clothing_store, toy_store, salon, jewelry_store, hardware_store, gym, florist, pet_store, craft_shop, pizzeria, dentist, cafe, burger_joint, bookstore : 58392
Saved path: toy_store, clothing_store, grocery_store, dentist, burger_joint, gym, craft_shop, florist, bank, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop : 65714
Saved path: craft_shop, burger_joint, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, pharmacy, florist, pet_store : 51527
Saved path: noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, jewelry_store, hardware_store, gym, toy_store : 64094
Saved path: tech_shop, clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bank, pet_store, craft_shop, gym, burger_joint, bookstore, cafe, dentist : 69995
Saved path: pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, cafe, burger_joint, hardware_store, craft_shop, florist, music_store : 52655
Saved path: toy_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, florist, pet_store, gym, pizzeria, dentist, tech_shop, grocery_store, noodle_house : 64287
Saved path: florist, craft_shop, gym, bookstore, cafe, dentist, tech_shop, clothing_store, salon, barber_shop, bakery, party_store, gelateria, bank, music_store : 62516
Saved path: grocery_store, tech_shop, pizzeria, craft_shop, pet_store, bank, music_store, florist, gym, burger_joint, bakery, party_store, barber_shop, toy_store, clothing_store : 65456
Saved path: noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, hardware_store, gym, pet_store, gelateria, florist, craft_shop, pizzeria, dentist, tech_shop : 63464
Saved path: gym, burger_joint, cafe, tech_shop, noodle_house, salon, barber_shop, bakery, party_store, jewelry_store, bike_shop, gelateria, bank, florist, pet_store : 65419
Saved path: clothing_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, gym, pet_store, gelateria, bank, music_store, party_store, bike_shop, salon, toy_store : 68353
Saved path: noodle_house, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, bike_shop, jewelry_store, hardware_store, salon : 68645
Saved path: tech_shop, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, party_store, gelateria, bank, music_store, florist, pet_store, craft_shop, pizzeria, dentist : 70329
Saved path: craft_shop, dentist, cafe, grocery_store, noodle_house, bookstore, burger_joint, gym, bike_shop, jewelry_store, party_store, pharmacy, gelateria, florist, pet_store : 56360
Saved path: barber_shop, toy_store, noodle_house, grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, bakery, bike_shop : 60076
Saved path: jewelry_store, party_store, bike_shop, bakery, gym, pet_store, gelateria, music_store, florist, craft_shop, dentist, bookstore, tech_shop, noodle_house, salon : 63297
Saved path: party_store, jewelry_store, barber_shop, salon, clothing_store, tech_shop, dentist, craft_shop, pet_store, gelateria, bank, music_store, gym, hardware_store, bakery : 68973
Saved path: party_store, jewelry_store, gelateria, craft_shop, gym, hardware_store, bookstore, cafe, dentist, pizzeria, tech_shop, clothing_store, toy_store, salon, barber_shop : 62206
Saved path: bookstore, burger_joint, gym, craft_shop, music_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, clothing_store, grocery_store, tech_shop, cafe : 54023
Saved path: pharmacy, jewelry_store, barber_shop, salon, clothing_store, tech_shop, dentist, cafe, burger_joint, gym, pet_store, florist, gelateria, bank, music_store : 67813
Saved path: bakery, bike_shop, jewelry_store, party_store, toy_store, clothing_store, grocery_store, bookstore, burger_joint, cafe, pizzeria, pet_store, florist, music_store, pharmacy : 56384
Saved path: pizzeria, cafe, bookstore, burger_joint, noodle_house, salon, jewelry_store, party_store, bakery, hardware_store, gym, pet_store, bank, music_store, florist : 69406
Saved path: cafe, bookstore, burger_joint, gym, pizzeria, craft_shop, florist, music_store, bank, gelateria, bike_shop, party_store, barber_shop, noodle_house, clothing_store : 64760
Saved path: florist, gym, bakery, party_store, hardware_store, toy_store, salon, noodle_house, clothing_store, grocery_store, bookstore, dentist, pet_store, bank, gelateria : 64722
