Saved path: bank, music_store, party_store, barber_shop, salon, hardware_store, toy_store, noodle_house, grocery_store, cafe, dentist, pizzeria, craft_shop, pet_store, gelateria : 66796
Saved path: dentist, pizzeria, tech_shop, grocery_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bank, gelateria, florist, craft_shop, gym, burger_joint : 69806
Saved path: pet_store, florist, gelateria, pharmacy, bakery, party_store, jewelry_store, hardware_store, toy_store, burger_joint, bookstore, cafe, clothing_store, tech_shop, pizzeria : 55097
Saved path: bakery, bank, music_store, craft_shop, pizzeria, dentist, cafe, bookstore, clothing_store, noodle_house, salon, toy_store, gym, hardware_store, jewelry_store : 66772
Saved path: pharmacy, jewelry_store, party_store, hardware_store, salon, toy_store, burger_joint, cafe, pizzeria, craft_shop, pet_store, florist, gelateria, bank, music_store : 65776
Saved path: pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, music_store, gelateria, pet_store, gym, craft_shop : 63054
Saved path: barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe, hardware_store, gym, craft_shop, music_store, pharmacy, bakery : 49375
Saved path: hardware_store, burger_joint, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, florist, gelateria, bakery, barber_shop, salon : 48599
Saved path: craft_shop, gym, burger_joint, bookstore, dentist, clothing_store, noodle_house, barber_shop, bike_shop, bakery, pharmacy, gelateria, bank, music_store, florist : 56313
Saved path: pharmacy, gelateria, pet_store, craft_shop, pizzeria, gym, hardware_store, bookstore, cafe, clothing_store, toy_store, salon, barber_shop, jewelry_store, party_store : 63249
Saved path: pharmacy, music_store, florist, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, toy_store, burger_joint, hardware_store, jewelry_store, bike_shop, bakery : 51628
Saved path: party_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, tech_shop, dentist, pizzeria, craft_shop, florist, bank, gelateria, pharmacy, hardware_store : 64662
Saved path: noodle_house, salon, hardware_store, bakery, bike_shop, music_store, bank, gelateria, pet_store, craft_shop, gym, burger_joint, dentist, pizzeria, tech_shop : 61963
Saved path: hardware_store, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, craft_shop, florist, bank, music_store, bike_shop, jewelry_store, party_store : 58317
Saved path: burger_joint, hardware_store, gym, pizzeria, gelateria, bank, music_store, bakery, party_store, bike_shop, barber_shop, toy_store, noodle_house, grocery_store, bookstore : 68160
Saved path: burger_joint, noodle_house, salon, barber_shop, party_store, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store, craft_shop, pizzeria, dentist : 63464
Saved path: toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, dentist, bank, bakery, bike_shop, party_store, hardware_store, gym : 63960
Saved path: gelateria, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, burger_joint, toy_store, clothing_store, noodle_house, barber_shop, jewelry_store, bakery, pharmacy : 57135
Saved path: bookstore, burger_joint, gym, craft_shop, florist, music_store, pharmacy, party_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, pizzeria, dentist : 57731
Saved path: bookstore, cafe, tech_shop, clothing_store, noodle_house, toy_store, bakery, party_store, jewelry_store, pharmacy, gelateria, bank, music_store, florist, craft_shop : 54341
Saved path: tech_shop, grocery_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery, bank, music_store, gym, hardware_store, burger_joint, bookstore, dentist : 68975
Saved path: pizzeria, dentist, cafe, bookstore, burger_joint, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery, gym, pet_store, florist, craft_shop : 59215
Saved path: tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym, craft_shop, bank, pharmacy, jewelry_store, salon, toy_store, noodle_house, clothing_store : 67893
Saved path: dentist, cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, bike_shop, hardware_store, pharmacy, music_store, florist, craft_shop : 57135
Saved path: jewelry_store, party_store, hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, gelateria, bike_shop : 59862
Saved path: party_store, jewelry_store, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, dentist, cafe, clothing_store, noodle_house, salon, toy_store, gym : 58016
Saved path: pet_store, craft_shop, pizzeria, dentist, tech_shop, clothing_store, toy_store, burger_joint, gym, hardware_store, bike_shop, pharmacy, music_store, bank, gelateria : 57026
Saved path: salon, barber_shop, party_store, pharmacy, music_store, florist, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, cafe, bookstore, burger_joint, toy_store : 55899
Saved path: dentist, craft_shop, pet_store, florist, music_store, bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, clothing_store, tech_shop, burger_joint, bookstore : 61266
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, bookstore, dentist, craft_shop, florist, bank, music_store, pharmacy, party_store, hardware_store, toy_store, salon : 59749
Saved path: music_store, bank, gelateria, pet_store, craft_shop, pizzeria, burger_joint, cafe, grocery_store, clothing_store, toy_store, salon, hardware_store, party_store, pharmacy : 61913
Saved path: dentist, pizzeria, craft_shop, gym, pet_store, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, tech_shop, cafe : 63898
Saved path: pet_store, craft_shop, dentist, cafe, burger_joint, hardware_store, toy_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, bank, florist : 69262
Saved path: dentist, pizzeria, pet_store, gelateria, music_store, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, salon, toy_store, tech_shop, cafe : 61158
Saved path: bank, gelateria, pet_store, gym, bike_shop, party_store, jewelry_store, salon, toy_store, burger_joint, bookstore, dentist, craft_shop, florist, music_store : 69415
Saved path: bike_shop, jewelry_store, party_store, bakery, barber_shop, toy_store, noodle_house, grocery_store, cafe, dentist, craft_shop, gym, pet_store, bank, music_store : 68017
Saved path: gym, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, music_store, florist, craft_shop, dentist, cafe, tech_shop, grocery_store, toy_store : 52658
