Saved path: pizzeria, tech_shop, grocery_store, toy_store, salon, bakery, music_store, bank, pet_store, craft_shop, gym, burger_joint, bookstore, cafe, dentist : 59521
Saved path: grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, party_store, pharmacy, music_store, gelateria, florist, pet_store, craft_shop, bookstore, burger_joint : 53097
Saved path: bakery, bike_shop, jewelry_store, party_store, hardware_store, salon, noodle_house, toy_store, burger_joint, bookstore, cafe, pizzeria, pet_store, gelateria, pharmacy : 58666
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, cafe, dentist, pet_store, florist, bank, music_store, pharmacy, bakery : 66229
Saved path: barber_shop, bike_shop, bakery, bank, music_store, florist, craft_shop, pizzeria, cafe, bookstore, burger_joint, hardware_store, gym, toy_store, noodle_house : 60822
Saved path: gym, hardware_store, bike_shop, bakery, pharmacy, music_store, florist, craft_shop, pizzeria, dentist, cafe, grocery_store, noodle_house, salon, toy_store : 48391
Saved path: cafe, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, pharmacy, gelateria, bank, music_store, florist, pet_store, gym, burger_joint : 52280
Saved path: toy_store, noodle_house, grocery_store, tech_shop, dentist, cafe, bookstore, burger_joint, hardware_store, jewelry_store, party_store, pharmacy, bank, pet_store, gym : 64078
Saved path: bookstore, burger_joint, cafe, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, pharmacy, music_store, bank, florist, craft_shop, dentist : 64519
Saved path: craft_shop, music_store, gelateria, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon, noodle_house, grocery_store, cafe, burger_joint, gym, pizzeria : 59374
Saved path: bank, music_store, florist, gym, bike_shop, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, bookstore, tech_shop, pizzeria, pet_store : 73144
Saved path: barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, music_store, florist, pet_store, dentist, cafe, bookstore, tech_shop, grocery_store, noodle_house : 56437
Saved path: pharmacy, bank, gelateria, florist, pizzeria, dentist, tech_shop, cafe, burger_joint, noodle_house, salon, hardware_store, bike_shop, jewelry_store, party_store : 66501
Saved path: party_store, jewelry_store, bike_shop, gelateria, bank, florist, pizzeria, tech_shop, cafe, bookstore, grocery_store, clothing_store, salon, hardware_store, bakery : 65503
Saved path: grocery_store, clothing_store, noodle_house, salon, hardware_store, bike_shop, gym, pet_store, gelateria, music_store, florist, craft_shop, dentist, cafe, bookstore : 52921
Saved path: gelateria, music_store, florist, craft_shop, pizzeria, dentist, tech_shop, grocery_store, noodle_house, toy_store, hardware_store, bakery, party_store, jewelry_store, barber_shop : 60170
Saved path: music_store, florist, pet_store, craft_shop, hardware_store, burger_joint, cafe, tech_shop, clothing_store, noodle_house, barber_shop, bakery, jewelry_store, gelateria, bank : 63268
Saved path: salon, noodle_house, tech_shop, cafe, bookstore, hardware_store, craft_shop, florist, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop : 54823
Saved path: burger_joint, cafe, tech_shop, dentist, pizzeria, pet_store, florist, music_store, gelateria, pharmacy, bakery, bike_shop, hardware_store, salon, toy_store : 52927
Saved path: dentist, tech_shop, clothing_store, salon, bike_shop, bakery, pharmacy, music_store, bank, florist, pet_store, gym, burger_joint, bookstore, cafe : 61326
Saved path: bank, bakery, bike_shop, party_store, jewelry_store, salon, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, gym : 68874
Saved path: pharmacy, gelateria, music_store, florist, pet_store, pizzeria, tech_shop, clothing_store, noodle_house, salon, hardware_store, gym, bike_shop, jewelry_store, party_store : 62433
Saved path: tech_shop, grocery_store, noodle_house, salon, toy_store, burger_joint, gym, bike_shop, party_store, bakery, pharmacy, florist, pet_store, pizzeria, dentist : 57277
Saved path: craft_shop, pizzeria, dentist, tech_shop, cafe, bookstore, gym, toy_store, salon, barber_shop, bike_shop, party_store, bakery, music_store, pet_store : 62914
Saved path: bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, clothing_store, tech_shop, cafe, burger_joint, dentist, pizzeria, pet_store, gelateria, music_store : 62943
Saved path: burger_joint, bookstore, dentist, pizzeria, tech_shop, noodle_house, toy_store, salon, barber_shop, bike_shop, gelateria, bank, florist, craft_shop, gym : 62977
