Saved path: salon, noodle_house, clothing_store, burger_joint, bookstore, cafe, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, party_store, gym, hardware_store : 65799
Saved path: dentist, pizzeria, pet_store, bank, pharmacy, jewelry_store, party_store, bakery, gym, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe : 63282
Saved path: noodle_house, toy_store, barber_shop, bike_shop, pharmacy, gelateria, bank, music_store, florist, pet_store, craft_shop, gym, hardware_store, bookstore, clothing_store : 58145
Saved path: burger_joint, cafe, dentist, pizzeria, florist, gelateria, bank, music_store, bike_shop, jewelry_store, party_store, hardware_store, salon, noodle_house, grocery_store : 65864
Saved path: pet_store, florist, gelateria, pharmacy, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, gym : 47542
Saved path: barber_shop, jewelry_store, music_store, bank, pet_store, gym, hardware_store, cafe, dentist, pizzeria, tech_shop, grocery_store, noodle_house, toy_store, salon : 71403
Saved path: craft_shop, dentist, cafe, bookstore, hardware_store, toy_store, clothing_store, noodle_house, barber_shop, jewelry_store, bakery, pharmacy, gelateria, bank, pet_store : 65707
Saved path: toy_store, noodle_house, barber_shop, bike_shop, bakery, pharmacy, bank, gelateria, florist, pet_store, pizzeria, tech_shop, grocery_store, clothing_store, burger_joint : 60324
Saved path: clothing_store, grocery_store, tech_shop, dentist, florist, music_store, pet_store, gym, hardware_store, party_store, bakery, barber_shop, salon, toy_store, noodle_house : 58466
Saved path: hardware_store, gym, music_store, gelateria, florist, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, bike_shop, bakery : 60854
Saved path: noodle_house, tech_shop, bookstore, burger_joint, hardware_store, gym, craft_shop, pet_store, bank, gelateria, bakery, bike_shop, jewelry_store, barber_shop, salon : 64791
Saved path: tech_shop, grocery_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, music_store, bank, florist, pet_store, dentist, cafe, bookstore : 69567
Saved path: jewelry_store, bike_shop, barber_shop, salon, toy_store, grocery_store, tech_shop, dentist, cafe, bookstore, hardware_store, gym, craft_shop, music_store, party_store : 61881
Saved path: gym, hardware_store, party_store, jewelry_store, bike_shop, bakery, barber_shop, noodle_house, burger_joint, cafe, dentist, pizzeria, craft_shop, florist, bank : 69741
Saved path: bakery, bike_shop, party_store, hardware_store, bookstore, grocery_store, dentist, pizzeria, craft_shop, pet_store, florist, music_store, bank, gelateria, barber_shop : 68092
Saved path: pet_store, bank, music_store, bakery, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, tech_shop, dentist, cafe, burger_joint, gym : 65950
