Saved path: tech_shop, pizzeria, craft_shop, florist, bank, gelateria, bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, toy_store, clothing_store, bookstore : 66918
Saved path: party_store, bakery, pharmacy, gelateria, bank, pet_store, craft_shop, gym, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, hardware_store : 53455
Saved path: clothing_store, salon, barber_shop, bakery, party_store, pharmacy, bank, florist, craft_shop, gym, burger_joint, cafe, dentist, tech_shop, grocery_store : 60796
Saved path: hardware_store, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, dentist, pet_store, bank, pharmacy, bakery, bike_shop, party_store : 59471
Saved path: bike_shop, jewelry_store, party_store, bakery, gelateria, bank, pet_store, gym, hardware_store, bookstore, tech_shop, grocery_store, noodle_house, toy_store, barber_shop : 66293
Saved path: clothing_store, noodle_house, bookstore, burger_joint, hardware_store, bakery, party_store, jewelry_store, bike_shop, music_store, gelateria, pet_store, pizzeria, dentist, grocery_store : 57862
Saved path: florist, craft_shop, pizzeria, dentist, clothing_store, noodle_house, salon, toy_store, burger_joint, gym, hardware_store, jewelry_store, bike_shop, music_store, bank : 67636
Saved path: hardware_store, party_store, bakery, pharmacy, music_store, pet_store, craft_shop, dentist, cafe, tech_shop, grocery_store, noodle_house, salon, toy_store, gym : 55049
Saved path: hardware_store, gym, pet_store, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, dentist, burger_joint : 58148
Saved path: clothing_store, noodle_house, bookstore, burger_joint, gym, hardware_store, bike_shop, jewelry_store, pharmacy, bank, music_store, florist, craft_shop, pizzeria, dentist : 63758
Saved path: barber_shop, salon, toy_store, hardware_store, gym, bookstore, tech_shop, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, bakery, bike_shop : 63977
Saved path: dentist, pizzeria, tech_shop, grocery_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, florist, gym, hardware_store : 61384
Saved path: jewelry_store, party_store, bakery, pharmacy, music_store, florist, pet_store, craft_shop, hardware_store, burger_joint, bookstore, grocery_store, clothing_store, salon, barber_shop : 56867
Saved path: salon, noodle_house, toy_store, hardware_store, burger_joint, grocery_store, tech_shop, dentist, craft_shop, florist, music_store, bank, gelateria, bakery, barber_shop : 55775
Saved path: dentist, pizzeria, pet_store, florist, music_store, gelateria, pharmacy, bike_shop, barber_shop, noodle_house, clothing_store, toy_store, hardware_store, gym, burger_joint : 58532
Saved path: bike_shop, barber_shop, salon, hardware_store, burger_joint, cafe, tech_shop, dentist, pizzeria, pet_store, gelateria, music_store, bakery, party_store, jewelry_store : 63644
Saved path: jewelry_store, party_store, bakery, pharmacy, bank, gelateria, florist, dentist, bookstore, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop : 64708
Saved path: bike_shop, bakery, music_store, bank, gelateria, florist, pizzeria, dentist, cafe, burger_joint, clothing_store, noodle_house, salon, hardware_store, gym : 58650
Saved path: burger_joint, bookstore, dentist, pizzeria, craft_shop, florist, gelateria, music_store, bike_shop, party_store, bakery, barber_shop, salon, toy_store, gym : 58620
Saved path: pharmacy, bakery, party_store, jewelry_store, barber_shop, hardware_store, gym, toy_store, noodle_house, tech_shop, dentist, craft_shop, florist, music_store, bank : 67454
Saved path: clothing_store, noodle_house, salon, barber_shop, jewelry_store, bike_shop, bakery, hardware_store, gym, pet_store, music_store, florist, pizzeria, cafe, bookstore : 64686
Saved path: barber_shop, salon, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, craft_shop, gelateria, bank, music_store, bakery, party_store : 58734
Saved path: jewelry_store, party_store, gym, hardware_store, salon, toy_store, grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, bank, gelateria : 68718
Saved path: bank, music_store, craft_shop, pizzeria, grocery_store, clothing_store, cafe, bookstore, burger_joint, gym, bike_shop, jewelry_store, bakery, pharmacy, gelateria : 60269
Saved path: jewelry_store, party_store, gym, toy_store, salon, noodle_house, grocery_store, bookstore, cafe, tech_shop, pizzeria, pet_store, florist, music_store, pharmacy : 62235
Saved path: bank, music_store, bakery, party_store, hardware_store, salon, toy_store, burger_joint, cafe, grocery_store, pizzeria, craft_shop, pet_store, florist, gelateria : 63122
Saved path: bank, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, grocery_store, tech_shop, dentist, cafe, bookstore, burger_joint, gym : 67826
Saved path: bakery, party_store, pharmacy, bank, craft_shop, pizzeria, dentist, tech_shop, clothing_store, noodle_house, toy_store, burger_joint, hardware_store, salon, barber_shop : 65831
Saved path: craft_shop, pizzeria, grocery_store, toy_store, salon, jewelry_store, party_store, bike_shop, bakery, hardware_store, gym, florist, music_store, gelateria, pet_store : 62714
Saved path: music_store, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, burger_joint, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, pet_store, bank : 61234
Saved path: gym, pet_store, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, clothing_store, grocery_store, dentist, bookstore, burger_joint : 67498
Saved path: music_store, florist, pet_store, craft_shop, dentist, grocery_store, clothing_store, bookstore, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank : 61585
Saved path: pet_store, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, salon, gym, bike_shop, bakery, pharmacy, gelateria, bank, music_store, florist : 59511
