Saved path: hardware_store, toy_store, salon, noodle_house, grocery_store, tech_shop, cafe, bookstore, gym, craft_shop, pet_store, gelateria, bank, music_store, bike_shop : 56501
Saved path: salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, craft_shop, pizzeria, dentist, tech_shop, cafe, burger_joint, hardware_store, gym, toy_store : 61370
Saved path: noodle_house, salon, hardware_store, gym, bakery, bank, gelateria, florist, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store : 54361
Saved path: tech_shop, pizzeria, bookstore, hardware_store, gym, pet_store, gelateria, jewelry_store, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store : 66146
Saved path: barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, bank, pharmacy, bakery, party_store, jewelry_store, bike_shop : 65628
Saved path: gym, bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, toy_store, bookstore, dentist, pizzeria, florist, music_store, bank, pet_store : 73062
Saved path: salon, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, gym, pet_store, bank, music_store, craft_shop, dentist, cafe, grocery_store, toy_store : 70092
Saved path: toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, bank, hardware_store, gym, craft_shop, pizzeria, dentist, grocery_store, clothing_store : 71197
Saved path: cafe, dentist, pizzeria, tech_shop, noodle_house, salon, toy_store, gym, florist, music_store, bank, gelateria, pharmacy, burger_joint, bookstore : 56222
Saved path: pizzeria, dentist, cafe, burger_joint, gym, toy_store, noodle_house, salon, barber_shop, jewelry_store, bakery, bank, music_store, florist, craft_shop : 66819
Saved path: grocery_store, clothing_store, salon, hardware_store, party_store, bakery, music_store, bank, gelateria, pet_store, craft_shop, dentist, burger_joint, cafe, tech_shop : 60424
Saved path: bike_shop, party_store, bakery, pharmacy, gelateria, bank, music_store, florist, craft_shop, pizzeria, dentist, bookstore, grocery_store, clothing_store, salon : 61399
Saved path: pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, clothing_store, grocery_store, tech_shop, dentist, bookstore, burger_joint, gym, craft_shop, music_store : 57636
Saved path: dentist, pizzeria, pet_store, florist, bank, pharmacy, bakery, bike_shop, hardware_store, gym, burger_joint, toy_store, salon, noodle_house, grocery_store : 62752
Saved path: party_store, bike_shop, barber_shop, salon, noodle_house, grocery_store, cafe, burger_joint, dentist, pizzeria, pet_store, florist, bank, music_store, pharmacy : 66500
Saved path: pizzeria, dentist, cafe, burger_joint, jewelry_store, pharmacy, gelateria, bank, pet_store, gym, toy_store, noodle_house, clothing_store, grocery_store, tech_shop : 63068
Saved path: gym, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, gelateria, bank, pharmacy, bike_shop, barber_shop, salon, toy_store : 61404
Saved path: pizzeria, dentist, cafe, burger_joint, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, party_store, jewelry_store, florist, pet_store : 59823
Saved path: noodle_house, toy_store, gym, burger_joint, bookstore, tech_shop, pizzeria, craft_shop, gelateria, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop : 68075
Saved path: craft_shop, pizzeria, dentist, bookstore, grocery_store, noodle_house, salon, toy_store, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, gelateria, florist : 56109
Saved path: jewelry_store, bakery, pharmacy, gelateria, bank, music_store, florist, craft_shop, pizzeria, gym, burger_joint, grocery_store, noodle_house, toy_store, barber_shop : 65965
Saved path: pet_store, gelateria, music_store, pharmacy, party_store, bike_shop, hardware_store, gym, toy_store, noodle_house, burger_joint, cafe, tech_shop, pizzeria, craft_shop : 54818
Saved path: grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, pharmacy, bank, florist, pet_store, craft_shop, pizzeria, dentist, bookstore : 66269
Saved path: music_store, bank, gelateria, craft_shop, dentist, burger_joint, bookstore, tech_shop, clothing_store, noodle_house, salon, hardware_store, party_store, jewelry_store, bike_shop : 65663
Saved path: gym, hardware_store, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery, music_store, pet_store : 58084
Saved path: bank, gelateria, craft_shop, pizzeria, tech_shop, clothing_store, burger_joint, hardware_store, salon, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, music_store : 66288
Saved path: dentist, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, florist, gelateria, bank, bakery, bike_shop, jewelry_store, barber_shop, noodle_house : 66408
Saved path: cafe, bookstore, craft_shop, pet_store, florist, gelateria, music_store, jewelry_store, bike_shop, bakery, barber_shop, salon, clothing_store, grocery_store, tech_shop : 56100
Saved path: pizzeria, dentist, bookstore, burger_joint, gym, pet_store, florist, gelateria, bank, pharmacy, party_store, barber_shop, salon, clothing_store, grocery_store : 69009
Saved path: salon, barber_shop, bike_shop, bakery, pharmacy, florist, craft_shop, pizzeria, dentist, cafe, bookstore, tech_shop, clothing_store, toy_store, hardware_store : 50356
Saved path: bank, music_store, craft_shop, gym, burger_joint, bookstore, cafe, pizzeria, tech_shop, clothing_store, toy_store, salon, hardware_store, pharmacy, gelateria : 55730
Saved path: salon, clothing_store, burger_joint, cafe, dentist, pizzeria, craft_shop, pet_store, gelateria, florist, gym, hardware_store, party_store, bike_shop, barber_shop : 60228
Saved path: barber_shop, bakery, party_store, pharmacy, music_store, bank, florist, pet_store, craft_shop, pizzeria, dentist, burger_joint, tech_shop, clothing_store, noodle_house : 64559
Saved path: cafe, tech_shop, grocery_store, dentist, pizzeria, craft_shop, pet_store, bank, music_store, florist, gym, barber_shop, toy_store, burger_joint, bookstore : 59924
Saved path: bookstore, cafe, tech_shop, clothing_store, noodle_house, salon, toy_store, gym, bike_shop, party_store, pharmacy, bank, florist, pizzeria, dentist : 65980
Saved path: gym, burger_joint, bookstore, cafe, grocery_store, noodle_house, salon, toy_store, hardware_store, bike_shop, jewelry_store, pharmacy, music_store, pet_store, craft_shop : 56513
Saved path: florist, bank, party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store, pizzeria, dentist, burger_joint, hardware_store, gym, craft_shop : 71584
Saved path: burger_joint, toy_store, gym, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, pet_store, craft_shop, dentist, grocery_store, cafe, bookstore : 54617
Saved path: toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, gym, gelateria, craft_shop, dentist, cafe, tech_shop, clothing_store, noodle_house : 60425
