Saved path: music_store, pharmacy, jewelry_store, gym, toy_store, salon, noodle_house, grocery_store, bookstore, burger_joint, dentist, pizzeria, craft_shop, gelateria, bank : 67304
Saved path: toy_store, clothing_store, tech_shop, dentist, craft_shop, pet_store, florist, gelateria, bank, pharmacy, bakery, jewelry_store, party_store, hardware_store, gym : 62485
Saved path: party_store, jewelry_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pet_store, bank, music_store, florist, gym, hardware_store, bike_shop : 67875
Saved path: gelateria, pet_store, craft_shop, dentist, cafe, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, gym, hardware_store, party_store, bike_shop : 54963
Saved path: florist, gelateria, music_store, bike_shop, jewelry_store, bakery, toy_store, grocery_store, tech_shop, pizzeria, dentist, cafe, burger_joint, gym, pet_store : 59640
Saved path: bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, pet_store, gym, pizzeria, dentist, tech_shop, clothing_store, noodle_house, salon, barber_shop : 64094
Saved path: bike_shop, barber_shop, salon, hardware_store, burger_joint, bookstore, grocery_store, dentist, pizzeria, craft_shop, pet_store, florist, bank, gelateria, jewelry_store : 72260
Saved path: grocery_store, dentist, pizzeria, craft_shop, pet_store, bank, pharmacy, party_store, bike_shop, barber_shop, salon, noodle_house, toy_store, hardware_store, bookstore : 69460
Saved path: bike_shop, jewelry_store, party_store, hardware_store, gym, burger_joint, toy_store, noodle_house, clothing_store, cafe, dentist, pizzeria, craft_shop, pet_store, bank : 66370
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, dentist, pizzeria, craft_shop, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop : 57977
Saved path: pharmacy, gelateria, bank, music_store, florist, craft_shop, pizzeria, dentist, grocery_store, clothing_store, toy_store, burger_joint, gym, hardware_store, barber_shop : 56333
Saved path: gelateria, florist, pizzeria, dentist, bookstore, grocery_store, noodle_house, salon, barber_shop, bakery, party_store, bike_shop, gym, pet_store, bank : 68622
Saved path: gym, florist, music_store, gelateria, bakery, party_store, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore : 58001
Saved path: florist, burger_joint, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, music_store : 57528
Saved path: dentist, pizzeria, pet_store, florist, music_store, gelateria, pharmacy, jewelry_store, party_store, bakery, gym, toy_store, salon, noodle_house, bookstore : 63636
Saved path: noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, florist, pet_store, bookstore, burger_joint, cafe, clothing_store : 64674
Saved path: bookstore, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, music_store, bank, gelateria, florist, pet_store, craft_shop : 64230
Saved path: barber_shop, noodle_house, toy_store, hardware_store, burger_joint, bookstore, cafe, grocery_store, pizzeria, pet_store, florist, gelateria, pharmacy, bakery, jewelry_store : 61066
Saved path: pet_store, gelateria, florist, pizzeria, cafe, bookstore, burger_joint, noodle_house, salon, barber_shop, bakery, bike_shop, jewelry_store, hardware_store, gym : 62642
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, toy_store, jewelry_store, bakery, pharmacy, gelateria, pet_store, gym, burger_joint, bookstore, cafe, dentist : 52907
Saved path: salon, toy_store, noodle_house, clothing_store, tech_shop, bookstore, burger_joint, hardware_store, gym, florist, pharmacy, bakery, party_store, jewelry_store, barber_shop : 52285
Saved path: pet_store, gelateria, bank, music_store, jewelry_store, bike_shop, bakery, gym, bookstore, cafe, noodle_house, clothing_store, grocery_store, pizzeria, craft_shop : 64847
Saved path: cafe, bookstore, grocery_store, noodle_house, toy_store, barber_shop, pharmacy, music_store, bank, gelateria, florist, gym, craft_shop, pizzeria, dentist : 56156
Saved path: clothing_store, grocery_store, cafe, dentist, pizzeria, pet_store, florist, music_store, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, noodle_house : 58483
Saved path: grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, florist, dentist, cafe, burger_joint, bookstore : 53787
Saved path: gym, bakery, jewelry_store, gelateria, bank, craft_shop, pizzeria, dentist, burger_joint, cafe, grocery_store, clothing_store, noodle_house, salon, hardware_store : 65374
Saved path: burger_joint, bakery, jewelry_store, gym, florist, gelateria, bank, pet_store, pizzeria, dentist, cafe, grocery_store, noodle_house, salon, toy_store : 68900
Saved path: pizzeria, dentist, cafe, bookstore, burger_joint, tech_shop, grocery_store, salon, jewelry_store, party_store, bike_shop, gym, pet_store, florist, craft_shop : 61398
Saved path: bike_shop, hardware_store, burger_joint, cafe, bookstore, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, music_store, barber_shop, jewelry_store : 63370
Saved path: party_store, bike_shop, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery : 54625
Saved path: craft_shop, pet_store, florist, bank, music_store, pharmacy, party_store, bakery, barber_shop, toy_store, noodle_house, grocery_store, cafe, burger_joint, gym : 59400
Saved path: noodle_house, salon, barber_shop, bakery, party_store, jewelry_store, bike_shop, music_store, bank, pizzeria, tech_shop, bookstore, burger_joint, gym, toy_store : 71547
Saved path: noodle_house, tech_shop, cafe, burger_joint, bakery, party_store, jewelry_store, bike_shop, gelateria, music_store, florist, pet_store, craft_shop, gym, toy_store : 54239
Saved path: pizzeria, tech_shop, cafe, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, hardware_store, gym, music_store, bank, gelateria, pet_store : 63270
Saved path: grocery_store, clothing_store, toy_store, barber_shop, bakery, bank, music_store, florist, gym, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop : 57282
Saved path: noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, gym, burger_joint, bookstore, dentist, pizzeria, tech_shop, grocery_store : 61955
Saved path: pizzeria, tech_shop, grocery_store, toy_store, gym, pet_store, bank, music_store, pharmacy, bike_shop, jewelry_store, hardware_store, burger_joint, cafe, dentist : 65284
Saved path: bakery, party_store, jewelry_store, bike_shop, gym, bookstore, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria : 64343
Saved path: toy_store, salon, barber_shop, bakery, bike_shop, music_store, bank, florist, pet_store, craft_shop, pizzeria, dentist, bookstore, clothing_store, noodle_house : 62430
Saved path: bike_shop, jewelry_store, party_store, bakery, bank, music_store, florist, craft_shop, dentist, bookstore, tech_shop, grocery_store, toy_store, salon, barber_shop : 66078
Saved path: salon, noodle_house, clothing_store, tech_shop, cafe, bookstore, dentist, craft_shop, pet_store, bank, pharmacy, bakery, party_store, gym, hardware_store : 62729
Saved path: florist, pet_store, pizzeria, dentist, tech_shop, cafe, burger_joint, noodle_house, salon, jewelry_store, party_store, bike_shop, bakery, gelateria, bank : 69608
Saved path: pizzeria, craft_shop, music_store, bank, pharmacy, jewelry_store, bike_shop, gym, hardware_store, salon, toy_store, burger_joint, cafe, tech_shop, dentist : 68364
Saved path: tech_shop, dentist, pizzeria, craft_shop, florist, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, hardware_store, burger_joint, bookstore, cafe : 57860
Saved path: bakery, bike_shop, jewelry_store, party_store, hardware_store, florist, bank, pet_store, pizzeria, tech_shop, cafe, clothing_store, noodle_house, toy_store, barber_shop : 72064
Saved path: clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, dentist, pet_store, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, toy_store, noodle_house : 54878
Saved path: florist, dentist, cafe, bookstore, tech_shop, noodle_house, toy_store, salon, jewelry_store, party_store, bakery, gym, pet_store, bank, gelateria : 69226
Saved path: grocery_store, noodle_house, salon, toy_store, burger_joint, gym, hardware_store, bike_shop, pharmacy, gelateria, bank, florist, craft_shop, dentist, cafe : 56109
Saved path: craft_shop, pet_store, florist, pharmacy, party_store, bakery, barber_shop, noodle_house, clothing_store, tech_shop, pizzeria, cafe, burger_joint, hardware_store, gym : 55692
Saved path: dentist, pizzeria, gelateria, music_store, pharmacy, party_store, bakery, barber_shop, noodle_house, clothing_store, toy_store, gym, hardware_store, burger_joint, cafe : 58236
Saved path: florist, gelateria, music_store, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, bookstore, burger_joint, gym, pizzeria, craft_shop : 49642
Saved path: bank, music_store, florist, pet_store, bookstore, burger_joint, cafe, tech_shop, clothing_store, toy_store, salon, jewelry_store, party_store, pharmacy, gelateria : 62748
