Saved path: barber_shop, salon, clothing_store, pizzeria, dentist, cafe, bookstore, hardware_store, gym, pet_store, gelateria, music_store, pharmacy, jewelry_store, bike_shop : 66475
Saved path: tech_shop, clothing_store, noodle_house, gym, hardware_store, bike_shop, jewelry_store, pharmacy, bank, music_store, florist, pet_store, pizzeria, dentist, cafe : 67567
Saved path: grocery_store, clothing_store, noodle_house, salon, barber_shop, bakery, music_store, florist, pet_store, craft_shop, gym, burger_joint, dentist, pizzeria, tech_shop : 51488
Saved path: gym, pet_store, florist, gelateria, music_store, pharmacy, bike_shop, hardware_store, burger_joint, bookstore, cafe, dentist, grocery_store, noodle_house, toy_store : 49997
Saved path: bakery, pharmacy, music_store, bank, gelateria, florist, hardware_store, burger_joint, grocery_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store : 62754
Saved path: florist, gym, hardware_store, bakery, bike_shop, jewelry_store, salon, toy_store, burger_joint, bookstore, cafe, tech_shop, pizzeria, pet_store, bank : 69812
Saved path: hardware_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, pet_store, bank, florist, bookstore : 71547
Saved path: salon, barber_shop, party_store, pharmacy, bank, pet_store, craft_shop, gym, hardware_store, burger_joint, cafe, dentist, tech_shop, clothing_store, toy_store : 64869
Saved path: pharmacy, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, bookstore, cafe, pizzeria, craft_shop, pet_store, florist, gelateria, bank : 67717
Saved path: bike_shop, jewelry_store, party_store, bakery, burger_joint, noodle_house, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, florist, bank, pharmacy : 65824
Saved path: florist, gym, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, toy_store, cafe, dentist, pizzeria, craft_shop, pet_store, bank, gelateria : 71009
Saved path: bank, music_store, gym, burger_joint, cafe, dentist, tech_shop, grocery_store, noodle_house, salon, jewelry_store, party_store, bakery, pharmacy, gelateria : 63083
Saved path: gym, pet_store, gelateria, bank, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, grocery_store, dentist, bookstore : 68705
Saved path: pharmacy, gelateria, bank, pizzeria, dentist, cafe, bookstore, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery : 66576
Saved path: gelateria, pharmacy, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop : 57621
Saved path: bakery, hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, dentist, craft_shop, pet_store, florist, bank, music_store, pharmacy : 53623
Saved path: burger_joint, hardware_store, party_store, jewelry_store, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store, bookstore, tech_shop, grocery_store, noodle_house : 59488
Saved path: pet_store, florist, pharmacy, jewelry_store, hardware_store, gym, toy_store, salon, noodle_house, grocery_store, tech_shop, bookstore, cafe, dentist, craft_shop : 57452
