Saved path: music_store, gelateria, pet_store, craft_shop, dentist, tech_shop, grocery_store, noodle_house, bookstore, burger_joint, party_store, jewelry_store, bike_shop, bakery, pharmacy : 55310
Saved path: burger_joint, gym, hardware_store, salon, barber_shop, jewelry_store, party_store, bakery, bank, craft_shop, pizzeria, tech_shop, clothing_store, noodle_house, toy_store : 70520
Saved path: cafe, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bakery, party_store, bike_shop, hardware_store, craft_shop, pet_store, bookstore, burger_joint : 50586
Saved path: party_store, bakery, gelateria, music_store, craft_shop, gym, burger_joint, cafe, dentist, pizzeria, tech_shop, grocery_store, noodle_house, salon, bike_shop : 57438
Saved path: salon, noodle_house, grocery_store, tech_shop, cafe, bookstore, hardware_store, pet_store, gelateria, bank, music_store, pharmacy, bakery, bike_shop, barber_shop : 56658
Saved path: clothing_store, grocery_store, tech_shop, cafe, burger_joint, craft_shop, florist, bank, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house : 60479
Saved path: jewelry_store, bike_shop, bakery, pharmacy, florist, gym, craft_shop, dentist, cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop : 54059
Saved path: jewelry_store, bakery, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon : 61897
Saved path: bookstore, burger_joint, toy_store, salon, clothing_store, tech_shop, pizzeria, craft_shop, florist, gelateria, bank, music_store, bakery, hardware_store, gym : 56674
Saved path: burger_joint, bookstore, noodle_house, clothing_store, tech_shop, dentist, pizzeria, craft_shop, florist, gelateria, music_store, barber_shop, bakery, party_store, hardware_store : 57947
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, party_store, bike_shop, bakery, bank, gelateria, florist, dentist, cafe, bookstore : 56669
Saved path: tech_shop, grocery_store, salon, barber_shop, bike_shop, party_store, hardware_store, gym, florist, music_store, bank, pet_store, pizzeria, dentist, cafe : 68824
Saved path: burger_joint, bookstore, cafe, tech_shop, dentist, pizzeria, craft_shop, gelateria, pharmacy, bakery, jewelry_store, barber_shop, salon, toy_store, hardware_store : 57983
Saved path: burger_joint, cafe, dentist, florist, bank, pet_store, gym, hardware_store, party_store, jewelry_store, salon, clothing_store, grocery_store, tech_shop, bookstore : 69480
Saved path: noodle_house, toy_store, bike_shop, jewelry_store, party_store, pharmacy, music_store, gelateria, florist, pet_store, craft_shop, dentist, burger_joint, bookstore, grocery_store : 57494
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, pharmacy, music_store, florist, craft_shop, gym, hardware_store, cafe : 49658
Saved path: craft_shop, pet_store, florist, bank, music_store, pharmacy, party_store, jewelry_store, hardware_store, salon, noodle_house, clothing_store, grocery_store, cafe, pizzeria : 65336
Saved path: grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, music_store, gelateria, florist, pet_store, gym, hardware_store, burger_joint, cafe : 50078
Saved path: bank, music_store, florist, craft_shop, pizzeria, grocery_store, clothing_store, noodle_house, salon, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy : 62205
Saved path: cafe, bookstore, burger_joint, gym, pet_store, gelateria, music_store, pharmacy, bakery, salon, noodle_house, clothing_store, grocery_store, pizzeria, dentist : 51668
Saved path: salon, hardware_store, gym, jewelry_store, party_store, bakery, pharmacy, gelateria, music_store, florist, pizzeria, dentist, bookstore, grocery_store, toy_store : 60975
