Saved path: pet_store, music_store, bakery, barber_shop, salon, noodle_house, clothing_store, toy_store, hardware_store, burger_joint, bookstore, cafe, tech_shop, dentist, craft_shop : 52401
Saved path: pet_store, craft_shop, pizzeria, dentist, cafe, burger_joint, bookstore, tech_shop, clothing_store, toy_store, bike_shop, gelateria, bank, music_store, florist : 57660
Saved path: hardware_store, burger_joint, bookstore, cafe, clothing_store, dentist, florist, music_store, bank, gelateria, pharmacy, bakery, bike_shop, barber_shop, salon : 57514
Saved path: hardware_store, burger_joint, bookstore, cafe, tech_shop, dentist, florist, music_store, gelateria, pharmacy, jewelry_store, bike_shop, barber_shop, salon, toy_store : 59702
Saved path: clothing_store, burger_joint, bookstore, cafe, dentist, pizzeria, pet_store, florist, pharmacy, bakery, jewelry_store, hardware_store, barber_shop, salon, noodle_house : 60719
Saved path: salon, toy_store, pharmacy, bank, gelateria, florist, pet_store, pizzeria, dentist, cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house : 56866
Saved path: tech_shop, grocery_store, clothing_store, toy_store, bakery, party_store, music_store, bank, florist, craft_shop, pizzeria, dentist, burger_joint, bookstore, cafe : 57364
Saved path: party_store, jewelry_store, salon, toy_store, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, dentist, craft_shop, pet_store, bank, pharmacy, bakery : 64582
Saved path: pizzeria, dentist, cafe, bookstore, burger_joint, gym, craft_shop, gelateria, bank, pharmacy, jewelry_store, bike_shop, barber_shop, grocery_store, tech_shop : 68881
Saved path: cafe, burger_joint, toy_store, salon, hardware_store, gym, bike_shop, jewelry_store, party_store, pharmacy, bank, gelateria, craft_shop, dentist, tech_shop : 66717
Saved path: craft_shop, pizzeria, tech_shop, grocery_store, bookstore, gym, toy_store, salon, jewelry_store, bakery, pharmacy, gelateria, music_store, florist, pet_store : 62481
Saved path: barber_shop, bakery, jewelry_store, music_store, pet_store, gym, hardware_store, burger_joint, bookstore, cafe, dentist, tech_shop, clothing_store, noodle_house, toy_store : 62064
Saved path: toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, pet_store, bank, gelateria, pharmacy, bakery, jewelry_store, bike_shop : 59143
Saved path: bank, gelateria, hardware_store, burger_joint, cafe, dentist, pizzeria, grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy : 68463
Saved path: bike_shop, jewelry_store, party_store, pharmacy, music_store, gelateria, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, burger_joint, gym, toy_store, barber_shop : 63827
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, florist, pet_store, gym, pizzeria : 60824
Saved path: pet_store, gelateria, florist, craft_shop, pizzeria, dentist, cafe, grocery_store, noodle_house, toy_store, barber_shop, bike_shop, bakery, hardware_store, gym : 53203
Saved path: burger_joint, gym, pet_store, florist, music_store, gelateria, pharmacy, party_store, bike_shop, hardware_store, salon, toy_store, grocery_store, dentist, bookstore : 59791
Saved path: toy_store, barber_shop, jewelry_store, party_store, music_store, pet_store, craft_shop, gym, burger_joint, bookstore, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house : 64461
Saved path: salon, hardware_store, party_store, bike_shop, bakery, pharmacy, music_store, gym, burger_joint, bookstore, dentist, pizzeria, grocery_store, clothing_store, noodle_house : 56733
Saved path: clothing_store, noodle_house, salon, hardware_store, jewelry_store, bike_shop, bakery, bank, music_store, craft_shop, gym, burger_joint, dentist, tech_shop, grocery_store : 65212
Saved path: florist, gelateria, bank, music_store, pharmacy, party_store, bike_shop, gym, hardware_store, salon, noodle_house, burger_joint, bookstore, dentist, pizzeria : 65227
Saved path: pet_store, pizzeria, dentist, cafe, tech_shop, grocery_store, noodle_house, salon, barber_shop, party_store, hardware_store, pharmacy, music_store, bank, gelateria : 66308
Saved path: clothing_store, grocery_store, tech_shop, dentist, pizzeria, music_store, florist, gym, hardware_store, bakery, party_store, jewelry_store, barber_shop, salon, toy_store : 60522
Saved path: pizzeria, cafe, bookstore, grocery_store, toy_store, barber_shop, jewelry_store, bike_shop, hardware_store, gym, music_store, bank, gelateria, pet_store, craft_shop : 72381
Saved path: noodle_house, clothing_store, grocery_store, pizzeria, craft_shop, music_store, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, gym, bookstore : 63946
Saved path: burger_joint, toy_store, noodle_house, salon, hardware_store, party_store, bike_shop, pharmacy, bank, gelateria, craft_shop, pizzeria, dentist, tech_shop, cafe : 62981
Saved path: gelateria, florist, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, clothing_store, noodle_house, barber_shop, bike_shop, party_store, hardware_store, pharmacy : 59421
Saved path: jewelry_store, party_store, pharmacy, music_store, bank, gelateria, florist, dentist, bookstore, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, bike_shop : 60556
Saved path: pet_store, craft_shop, pizzeria, tech_shop, grocery_store, cafe, bookstore, gym, toy_store, salon, barber_shop, bike_shop, party_store, pharmacy, music_store : 61562
Saved path: bike_shop, jewelry_store, party_store, pharmacy, gelateria, music_store, pizzeria, tech_shop, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon, barber_shop : 60312
Saved path: pet_store, bank, music_store, pharmacy, bakery, bike_shop, jewelry_store, hardware_store, gym, toy_store, burger_joint, cafe, tech_shop, dentist, craft_shop : 61582
Saved path: grocery_store, dentist, pizzeria, craft_shop, florist, gelateria, music_store, jewelry_store, party_store, bakery, hardware_store, gym, toy_store, salon, noodle_house : 58311
Saved path: pharmacy, gelateria, music_store, florist, pet_store, craft_shop, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, gym, bakery : 48681
Saved path: florist, music_store, bank, pet_store, dentist, cafe, bookstore, grocery_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, gym : 70260
Saved path: toy_store, gym, bakery, jewelry_store, music_store, bank, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, burger_joint, bookstore, clothing_store : 65851
Saved path: toy_store, clothing_store, grocery_store, tech_shop, cafe, bookstore, dentist, craft_shop, pet_store, bank, florist, gym, bakery, jewelry_store, barber_shop : 67524
Saved path: noodle_house, clothing_store, toy_store, burger_joint, bookstore, dentist, pizzeria, craft_shop, pet_store, bank, gelateria, bakery, party_store, hardware_store, salon : 63398
Saved path: pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, bookstore, noodle_house, clothing_store, tech_shop, dentist, pizzeria, florist, bank : 65984
Saved path: toy_store, grocery_store, tech_shop, cafe, bookstore, hardware_store, gym, craft_shop, pet_store, florist, pharmacy, bike_shop, jewelry_store, barber_shop, salon : 56424
Saved path: gym, hardware_store, burger_joint, cafe, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, gelateria, music_store, florist, pet_store : 57561
Saved path: music_store, florist, pet_store, craft_shop, bookstore, cafe, tech_shop, grocery_store, noodle_house, salon, barber_shop, bike_shop, bakery, pharmacy, bank : 54766
