Saved path: salon, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, gelateria, bank, pet_store, dentist, cafe, burger_joint, hardware_store, gym, toy_store : 67492
Saved path: music_store, gelateria, florist, craft_shop, pizzeria, tech_shop, cafe, grocery_store, toy_store, salon, hardware_store, gym, bakery, party_store, jewelry_store : 58492
Saved path: music_store, gelateria, florist, pet_store, craft_shop, gym, burger_joint, cafe, dentist, grocery_store, noodle_house, salon, jewelry_store, bike_shop, bakery : 59645
Saved path: bakery, party_store, barber_shop, toy_store, hardware_store, burger_joint, bookstore, clothing_store, grocery_store, dentist, pizzeria, craft_shop, florist, bank, gelateria : 64374
Saved path: tech_shop, dentist, cafe, bookstore, hardware_store, gym, gelateria, pharmacy, bakery, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store : 56294
Saved path: bakery, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, bookstore, burger_joint, dentist, florist, music_store, bank, gelateria, pharmacy : 54363
Saved path: pet_store, gelateria, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, clothing_store, grocery_store, cafe, bookstore, burger_joint, hardware_store, gym : 52954
Saved path: bank, gelateria, florist, gym, burger_joint, dentist, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy : 61864
Saved path: bookstore, cafe, grocery_store, clothing_store, dentist, craft_shop, florist, music_store, bank, gelateria, bike_shop, jewelry_store, party_store, hardware_store, gym : 60929
Saved path: florist, music_store, bank, barber_shop, bike_shop, party_store, bakery, hardware_store, toy_store, noodle_house, grocery_store, bookstore, cafe, pizzeria, craft_shop : 65676
Saved path: barber_shop, salon, toy_store, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, florist, bank, bakery, party_store, jewelry_store, bike_shop : 70729
Saved path: pharmacy, party_store, jewelry_store, barber_shop, noodle_house, dentist, cafe, bookstore, hardware_store, gym, craft_shop, pet_store, florist, gelateria, bank : 70230
Saved path: music_store, bank, pet_store, craft_shop, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bakery, party_store, hardware_store, florist : 61823
