Saved path: bookstore, burger_joint, gym, bakery, party_store, bike_shop, barber_shop, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, grocery_store, cafe : 59882
Saved path: gelateria, bank, florist, pizzeria, dentist, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, bakery, party_store, jewelry_store, bike_shop : 63147
Saved path: craft_shop, gym, hardware_store, burger_joint, cafe, dentist, grocery_store, toy_store, salon, barber_shop, jewelry_store, bakery, bank, music_store, florist : 65331
Saved path: toy_store, clothing_store, noodle_house, barber_shop, jewelry_store, music_store, florist, pet_store, pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store, gym : 64960
Saved path: pizzeria, craft_shop, pet_store, florist, bank, gelateria, pharmacy, bakery, bike_shop, barber_shop, hardware_store, bookstore, noodle_house, clothing_store, tech_shop : 62823
Saved path: pharmacy, florist, pet_store, craft_shop, pizzeria, dentist, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, hardware_store : 46274
Saved path: salon, toy_store, clothing_store, grocery_store, cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, pharmacy, jewelry_store, bakery, gym, hardware_store : 56611
Saved path: salon, barber_shop, bike_shop, party_store, gelateria, bank, music_store, florist, pizzeria, dentist, bookstore, burger_joint, hardware_store, toy_store, clothing_store : 67719
Saved path: noodle_house, toy_store, hardware_store, bike_shop, party_store, bakery, pharmacy, gelateria, bank, pet_store, craft_shop, pizzeria, cafe, bookstore, burger_joint : 59027
Saved path: florist, pet_store, bookstore, burger_joint, tech_shop, grocery_store, noodle_house, salon, toy_store, hardware_store, bike_shop, bakery, pharmacy, music_store, bank : 56313
Saved path: pizzeria, dentist, cafe, grocery_store, salon, toy_store, burger_joint, gym, hardware_store, bakery, party_store, jewelry_store, music_store, bank, florist : 67837
Saved path: pharmacy, bakery, bike_shop, jewelry_store, salon, toy_store, noodle_house, clothing_store, tech_shop, cafe, burger_joint, gym, craft_shop, pet_store, florist : 52409
Saved path: toy_store, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria, pet_store, florist, gym, hardware_store, party_store, bike_shop, barber_shop, salon : 57251
