Saved path: bookstore, cafe, dentist, craft_shop, pet_store, florist, gelateria, bank, music_store, pharmacy, bike_shop, jewelry_store, barber_shop, salon, grocery_store : 66817
Saved path: craft_shop, music_store, gelateria, pharmacy, party_store, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, bookstore, gym : 55623
Saved path: bike_shop, barber_shop, noodle_house, clothing_store, toy_store, hardware_store, burger_joint, bookstore, craft_shop, pet_store, music_store, pharmacy, bakery, party_store, jewelry_store : 58617
Saved path: bank, gym, hardware_store, cafe, dentist, pizzeria, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, gelateria : 70850
Saved path: noodle_house, grocery_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, pet_store, pharmacy, bike_shop, barber_shop, salon, toy_store : 48674
Saved path: tech_shop, grocery_store, noodle_house, bookstore, burger_joint, hardware_store, party_store, bakery, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, dentist : 57269
Saved path: barber_shop, bike_shop, party_store, pharmacy, music_store, bank, gelateria, pet_store, pizzeria, dentist, tech_shop, grocery_store, bookstore, hardware_store, salon : 69104
Saved path: music_store, florist, craft_shop, gym, burger_joint, bookstore, cafe, grocery_store, noodle_house, salon, toy_store, hardware_store, bakery, party_store, jewelry_store : 51831
Saved path: salon, noodle_house, tech_shop, pizzeria, bookstore, hardware_store, gym, craft_shop, florist, gelateria, music_store, pharmacy, party_store, jewelry_store, barber_shop : 62955
Saved path: burger_joint, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, bank, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store : 62726
Saved path: clothing_store, grocery_store, cafe, burger_joint, hardware_store, gym, pizzeria, craft_shop, florist, gelateria, bank, barber_shop, salon, toy_store, noodle_house : 56614
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, music_store, pharmacy, bakery, hardware_store, salon, noodle_house, clothing_store, grocery_store, cafe, burger_joint : 46856
Saved path: clothing_store, noodle_house, salon, barber_shop, jewelry_store, bike_shop, bakery, music_store, bank, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop : 68118
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, hardware_store, burger_joint, cafe, clothing_store, dentist, pizzeria, florist, gelateria, bank, music_store : 69312
Saved path: bookstore, burger_joint, gym, craft_shop, florist, music_store, jewelry_store, party_store, barber_shop, salon, noodle_house, tech_shop, pizzeria, dentist, cafe : 60567
Saved path: barber_shop, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, gym, craft_shop, gelateria, bank, pharmacy, bakery, party_store, bike_shop : 57527
Saved path: clothing_store, grocery_store, bookstore, cafe, dentist, music_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, gym, toy_store : 61183
Saved path: pizzeria, craft_shop, gym, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, bookstore, tech_shop : 59435
Saved path: bank, gelateria, florist, craft_shop, pizzeria, dentist, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, party_store, pharmacy : 61958
Saved path: bike_shop, jewelry_store, party_store, gelateria, music_store, florist, pet_store, gym, hardware_store, burger_joint, tech_shop, grocery_store, noodle_house, toy_store, barber_shop : 60516
Saved path: bookstore, burger_joint, hardware_store, gym, florist, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, toy_store, tech_shop, pizzeria, dentist, cafe : 60610
Saved path: jewelry_store, party_store, bakery, pharmacy, florist, pet_store, craft_shop, gym, burger_joint, bookstore, dentist, grocery_store, toy_store, salon, barber_shop : 59000
Saved path: noodle_house, salon, barber_shop, hardware_store, jewelry_store, bike_shop, bakery, music_store, florist, craft_shop, pizzeria, tech_shop, bookstore, grocery_store, clothing_store : 59668
Saved path: noodle_house, salon, barber_shop, bike_shop, gelateria, bank, music_store, florist, pet_store, pizzeria, cafe, bookstore, hardware_store, toy_store, clothing_store : 64860
Saved path: pizzeria, dentist, bookstore, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, music_store, florist, pet_store : 61035
Saved path: tech_shop, pizzeria, cafe, bookstore, burger_joint, gym, craft_shop, music_store, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, clothing_store : 51857
Saved path: cafe, tech_shop, grocery_store, noodle_house, salon, gym, bike_shop, party_store, pharmacy, music_store, bank, gelateria, florist, pizzeria, dentist : 64119
Saved path: jewelry_store, party_store, hardware_store, gym, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store, dentist, pizzeria, craft_shop, music_store, bike_shop : 59733
Saved path: noodle_house, grocery_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, jewelry_store, bike_shop, pharmacy, gelateria, florist, pet_store, craft_shop, gym : 52358
Saved path: salon, hardware_store, gym, bookstore, cafe, tech_shop, dentist, craft_shop, florist, bank, pharmacy, bakery, jewelry_store, bike_shop, barber_shop : 67653
Saved path: burger_joint, cafe, tech_shop, pizzeria, craft_shop, florist, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, salon, clothing_store, grocery_store : 53421
Saved path: pet_store, florist, gelateria, bank, bakery, jewelry_store, bike_shop, hardware_store, bookstore, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist : 63773
Saved path: clothing_store, toy_store, gym, pet_store, gelateria, bank, music_store, pharmacy, jewelry_store, bike_shop, hardware_store, burger_joint, bookstore, dentist, grocery_store : 63750
Saved path: gelateria, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, grocery_store, bookstore, pizzeria, craft_shop, gym, florist, music_store, bank : 68666
Saved path: grocery_store, cafe, burger_joint, dentist, pizzeria, craft_shop, pet_store, florist, bank, music_store, bike_shop, party_store, jewelry_store, barber_shop, salon : 70957
Saved path: noodle_house, toy_store, gym, hardware_store, bakery, party_store, jewelry_store, bike_shop, music_store, bank, pet_store, craft_shop, dentist, cafe, tech_shop : 63574
Saved path: party_store, bakery, toy_store, noodle_house, burger_joint, bookstore, cafe, tech_shop, dentist, pizzeria, florist, music_store, bank, pharmacy, bike_shop : 60092
Saved path: grocery_store, salon, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, bank, music_store, florist, pet_store, craft_shop, dentist, bookstore, tech_shop : 67215
Saved path: clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, florist, gelateria, music_store, barber_shop, bike_shop, party_store, hardware_store, burger_joint, toy_store, noodle_house : 56707
Saved path: burger_joint, gym, toy_store, salon, jewelry_store, party_store, bike_shop, bakery, pharmacy, pet_store, craft_shop, pizzeria, tech_shop, cafe, bookstore : 60489
Saved path: pet_store, florist, music_store, bank, bakery, bike_shop, jewelry_store, party_store, hardware_store, salon, noodle_house, clothing_store, grocery_store, cafe, gym : 63839
Saved path: tech_shop, pizzeria, cafe, bookstore, burger_joint, hardware_store, gelateria, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store : 62551
Saved path: pizzeria, dentist, tech_shop, noodle_house, toy_store, burger_joint, gym, bakery, bike_shop, jewelry_store, music_store, bank, gelateria, pet_store, craft_shop : 65965
Saved path: florist, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, clothing_store, salon, barber_shop, jewelry_store, party_store, bakery, hardware_store, gym : 58928
Saved path: noodle_house, clothing_store, dentist, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, gelateria, music_store, pharmacy, bike_shop, barber_shop, toy_store : 52200
Saved path: cafe, bookstore, burger_joint, gym, craft_shop, pet_store, florist, gelateria, bank, pharmacy, bakery, bike_shop, barber_shop, grocery_store, tech_shop : 55881
Saved path: bank, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, cafe, hardware_store, gym, pet_store : 62818
Saved path: tech_shop, pizzeria, craft_shop, pet_store, florist, pharmacy, bakery, party_store, barber_shop, salon, toy_store, hardware_store, burger_joint, bookstore, clothing_store : 56851
Saved path: jewelry_store, bike_shop, bakery, pharmacy, bank, gelateria, craft_shop, gym, burger_joint, bookstore, cafe, grocery_store, noodle_house, toy_store, barber_shop : 61016
Saved path: hardware_store, gym, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, craft_shop, pizzeria, tech_shop, bookstore, burger_joint, noodle_house, salon : 59884
Saved path: cafe, dentist, pizzeria, florist, gym, hardware_store, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, bookstore : 54875
Saved path: craft_shop, gym, burger_joint, bookstore, dentist, tech_shop, grocery_store, salon, barber_shop, bike_shop, bakery, pharmacy, music_store, bank, florist : 58635
Saved path: noodle_house, salon, hardware_store, bike_shop, jewelry_store, gelateria, bank, music_store, pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint, toy_store : 67724
Saved path: toy_store, barber_shop, jewelry_store, bike_shop, gelateria, bank, music_store, florist, pet_store, gym, hardware_store, burger_joint, bookstore, cafe, grocery_store : 65840
Saved path: pet_store, bank, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, hardware_store : 57172
Saved path: gelateria, florist, gym, hardware_store, burger_joint, cafe, dentist, pizzeria, tech_shop, clothing_store, salon, barber_shop, bike_shop, bakery, pharmacy : 50971
Saved path: florist, pet_store, craft_shop, dentist, clothing_store, cafe, bookstore, burger_joint, hardware_store, barber_shop, party_store, pharmacy, gelateria, bank, music_store : 64365
Saved path: bookstore, grocery_store, clothing_store, noodle_house, salon, hardware_store, party_store, jewelry_store, music_store, florist, pet_store, pizzeria, dentist, cafe, burger_joint : 60263
Saved path: hardware_store, gym, florist, music_store, gelateria, pharmacy, party_store, bike_shop, barber_shop, grocery_store, tech_shop, dentist, cafe, bookstore, burger_joint : 57006
Saved path: bookstore, cafe, dentist, craft_shop, florist, music_store, bank, party_store, bike_shop, barber_shop, salon, noodle_house, toy_store, hardware_store, burger_joint : 63510
