Saved path: party_store, bike_shop, bakery, pharmacy, gelateria, bank, music_store, florist, pizzeria, dentist, tech_shop, bookstore, burger_joint, gym, hardware_store : 58674
Saved path: pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, gym, bike_shop, jewelry_store, music_store, bank, florist, craft_shop : 62389
Saved path: toy_store, grocery_store, dentist, pizzeria, craft_shop, gym, music_store, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon : 61422
Saved path: bookstore, burger_joint, gym, hardware_store, salon, barber_shop, jewelry_store, bakery, pharmacy, bank, gelateria, florist, pizzeria, tech_shop, grocery_store : 67382
Saved path: toy_store, hardware_store, bookstore, cafe, pizzeria, craft_shop, pet_store, florist, music_store, pharmacy, bike_shop, barber_shop, salon, noodle_house, clothing_store : 55368
Saved path: craft_shop, pizzeria, tech_shop, cafe, grocery_store, noodle_house, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, hardware_store, gym : 56358
Saved path: gym, burger_joint, bookstore, dentist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, party_store, bakery, music_store, florist : 56337
Saved path: pet_store, craft_shop, gym, toy_store, grocery_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank, gelateria : 64164
Saved path: bike_shop, pharmacy, bank, music_store, craft_shop, pizzeria, dentist, cafe, burger_joint, tech_shop, grocery_store, clothing_store, salon, jewelry_store, party_store : 65802
Saved path: salon, noodle_house, clothing_store, tech_shop, cafe, bookstore, dentist, pizzeria, pet_store, gelateria, music_store, jewelry_store, party_store, gym, toy_store : 64019
Saved path: clothing_store, toy_store, hardware_store, gym, pizzeria, craft_shop, music_store, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, noodle_house : 58245
Saved path: pet_store, florist, music_store, pharmacy, bike_shop, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, bookstore, pizzeria, craft_shop : 60917
Saved path: noodle_house, tech_shop, bookstore, cafe, dentist, craft_shop, pet_store, gelateria, music_store, pharmacy, bike_shop, party_store, hardware_store, toy_store, salon : 56845
Saved path: music_store, pharmacy, bike_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, bookstore, cafe, dentist, pizzeria, craft_shop, gelateria, bank : 63365
Saved path: barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe, dentist, pizzeria, craft_shop, gelateria, bike_shop, bakery : 49321
Saved path: cafe, pizzeria, craft_shop, pet_store, gelateria, music_store, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, hardware_store, gym, bookstore : 55715
Saved path: music_store, bakery, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, bookstore, burger_joint, dentist, pizzeria, pet_store, florist, bank : 63811
Saved path: burger_joint, hardware_store, gym, pizzeria, pet_store, florist, bank, gelateria, pharmacy, jewelry_store, bike_shop, barber_shop, noodle_house, grocery_store, bookstore : 73208
Saved path: salon, barber_shop, jewelry_store, party_store, pharmacy, gelateria, bank, pet_store, craft_shop, dentist, cafe, tech_shop, clothing_store, noodle_house, toy_store : 64147
Saved path: gym, craft_shop, pet_store, florist, bank, gelateria, bike_shop, jewelry_store, party_store, hardware_store, burger_joint, bookstore, cafe, tech_shop, toy_store : 62792
Saved path: florist, pet_store, gym, craft_shop, pizzeria, tech_shop, cafe, bookstore, grocery_store, noodle_house, barber_shop, bike_shop, pharmacy, music_store, bank : 63251
Saved path: clothing_store, noodle_house, toy_store, gym, bakery, party_store, jewelry_store, bike_shop, gelateria, bank, music_store, florist, pizzeria, tech_shop, cafe : 62510
Saved path: dentist, pizzeria, craft_shop, music_store, bank, gelateria, jewelry_store, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, bookstore : 65193
Saved path: jewelry_store, bike_shop, music_store, gelateria, pet_store, pizzeria, tech_shop, cafe, bookstore, clothing_store, toy_store, salon, hardware_store, gym, party_store : 65086
