Saved path: toy_store, hardware_store, jewelry_store, party_store, pharmacy, music_store, bank, pet_store, craft_shop, pizzeria, tech_shop, cafe, grocery_store, noodle_house, salon : 65044
Saved path: tech_shop, pizzeria, bookstore, burger_joint, gym, pet_store, florist, bank, gelateria, pharmacy, bakery, jewelry_store, salon, noodle_house, grocery_store : 68834
Saved path: dentist, cafe, bookstore, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, salon, barber_shop, party_store, pharmacy, music_store, pet_store, craft_shop : 58275
Saved path: florist, gym, craft_shop, pizzeria, dentist, cafe, bookstore, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, bank : 70457
Saved path: burger_joint, cafe, grocery_store, clothing_store, toy_store, salon, hardware_store, bike_shop, party_store, bakery, pharmacy, bank, music_store, craft_shop, pizzeria : 61189
Saved path: barber_shop, bike_shop, bakery, pharmacy, bank, music_store, florist, gym, hardware_store, dentist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house : 59944
Saved path: pet_store, gelateria, florist, gym, hardware_store, jewelry_store, bike_shop, barber_shop, noodle_house, burger_joint, cafe, grocery_store, tech_shop, pizzeria, craft_shop : 61780
Saved path: gym, hardware_store, salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, bank, florist, pet_store, pizzeria, dentist, tech_shop, cafe : 73495
Saved path: jewelry_store, bike_shop, pharmacy, gelateria, craft_shop, gym, hardware_store, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop : 55015
Saved path: burger_joint, hardware_store, gym, craft_shop, music_store, gelateria, party_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, pizzeria, dentist : 60765
Saved path: pet_store, gym, bookstore, dentist, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, bank : 65196
Saved path: burger_joint, cafe, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, jewelry_store, hardware_store, salon, toy_store : 65253
Saved path: grocery_store, clothing_store, cafe, burger_joint, gym, hardware_store, party_store, pharmacy, bank, music_store, florist, pet_store, pizzeria, dentist, tech_shop : 61538
Saved path: hardware_store, salon, tech_shop, bookstore, burger_joint, gym, pet_store, florist, bank, music_store, pharmacy, bakery, bike_shop, jewelry_store, party_store : 66528
Saved path: pharmacy, bank, music_store, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, bookstore, burger_joint, party_store, jewelry_store, bike_shop : 67032
Saved path: noodle_house, grocery_store, tech_shop, cafe, dentist, craft_shop, pet_store, florist, gelateria, bank, pharmacy, bakery, gym, burger_joint, bookstore : 53463
Saved path: craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, hardware_store, salon, barber_shop, bakery, party_store, jewelry_store, music_store, gelateria, florist : 57268
Saved path: cafe, burger_joint, gym, craft_shop, florist, music_store, gelateria, pharmacy, party_store, hardware_store, salon, noodle_house, clothing_store, tech_shop, pizzeria : 54763
Saved path: florist, gelateria, jewelry_store, party_store, bakery, gym, toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, pet_store : 57224
Saved path: gym, hardware_store, cafe, dentist, tech_shop, grocery_store, salon, barber_shop, party_store, bakery, pharmacy, bank, florist, pet_store, craft_shop : 66722
Saved path: gym, hardware_store, salon, toy_store, bookstore, tech_shop, dentist, pizzeria, pet_store, bank, gelateria, pharmacy, bakery, jewelry_store, bike_shop : 70959
Saved path: music_store, florist, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, noodle_house, burger_joint, gym, hardware_store, party_store, bike_shop, gelateria, bank : 62261
Saved path: bookstore, burger_joint, gym, hardware_store, party_store, barber_shop, gelateria, bank, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, cafe : 67020
Saved path: grocery_store, dentist, craft_shop, pet_store, florist, music_store, bank, gelateria, pharmacy, bakery, party_store, bike_shop, hardware_store, barber_shop, salon : 65333
Saved path: tech_shop, grocery_store, noodle_house, toy_store, barber_shop, bike_shop, bakery, pharmacy, music_store, bank, florist, pet_store, craft_shop, dentist, bookstore : 59755
Saved path: gym, hardware_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, bookstore, cafe, pizzeria, craft_shop, florist, music_store : 61625
Saved path: bookstore, cafe, tech_shop, pizzeria, craft_shop, music_store, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop, toy_store, hardware_store, burger_joint : 66160
Saved path: noodle_house, grocery_store, cafe, bookstore, burger_joint, hardware_store, gym, music_store, bank, gelateria, bakery, bike_shop, jewelry_store, barber_shop, toy_store : 62452
Saved path: bank, pet_store, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, hardware_store, bike_shop, bakery : 59112
Saved path: party_store, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, pizzeria, craft_shop, florist, gelateria, bank, gym, hardware_store : 67760
Saved path: pet_store, craft_shop, pizzeria, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy : 59890
Saved path: bakery, party_store, jewelry_store, bike_shop, gelateria, pet_store, craft_shop, bookstore, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, salon, barber_shop : 57979
Saved path: music_store, gelateria, florist, pizzeria, dentist, cafe, bookstore, tech_shop, noodle_house, salon, hardware_store, jewelry_store, party_store, bakery, pharmacy : 57888
Saved path: dentist, pizzeria, grocery_store, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, pharmacy, bank, florist, gym, hardware_store, burger_joint, bookstore : 71729
Saved path: dentist, pizzeria, music_store, bank, gelateria, bakery, bike_shop, jewelry_store, hardware_store, burger_joint, toy_store, salon, clothing_store, grocery_store, tech_shop : 66161
Saved path: grocery_store, noodle_house, salon, barber_shop, party_store, jewelry_store, bike_shop, gelateria, bank, gym, burger_joint, bookstore, cafe, dentist, pizzeria : 71078
Saved path: barber_shop, bike_shop, hardware_store, gym, florist, pet_store, craft_shop, pizzeria, grocery_store, cafe, bookstore, burger_joint, toy_store, noodle_house, salon : 53230
Saved path: toy_store, noodle_house, tech_shop, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, florist, gelateria, bank, pharmacy, jewelry_store, barber_shop : 64567
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, hardware_store, burger_joint, bookstore, clothing_store, grocery_store, tech_shop, dentist, florist, bank, bakery : 68552
Saved path: bike_shop, jewelry_store, party_store, bakery, pharmacy, hardware_store, burger_joint, bookstore, craft_shop, dentist, cafe, tech_shop, clothing_store, noodle_house, barber_shop : 51978
Saved path: bank, music_store, bakery, bike_shop, jewelry_store, salon, clothing_store, grocery_store, tech_shop, dentist, bookstore, burger_joint, gym, craft_shop, gelateria : 65494
Saved path: bakery, pharmacy, bank, florist, craft_shop, bookstore, burger_joint, cafe, tech_shop, grocery_store, noodle_house, toy_store, hardware_store, party_store, jewelry_store : 56006
Saved path: gym, craft_shop, florist, music_store, gelateria, bike_shop, party_store, jewelry_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore : 53860
Saved path: pharmacy, bank, gelateria, florist, pizzeria, dentist, cafe, bookstore, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, party_store : 62876
Saved path: grocery_store, noodle_house, barber_shop, bike_shop, party_store, bakery, gelateria, florist, craft_shop, gym, burger_joint, bookstore, cafe, dentist, pizzeria : 56226
Saved path: hardware_store, gym, pet_store, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, noodle_house, clothing_store, pizzeria, dentist, cafe, burger_joint : 60967
