Saved path: bookstore, cafe, dentist, music_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, hardware_store : 66547
Saved path: cafe, tech_shop, clothing_store, toy_store, salon, barber_shop, bike_shop, party_store, music_store, bank, gelateria, pet_store, craft_shop, hardware_store, burger_joint : 62677
Saved path: bike_shop, jewelry_store, party_store, pharmacy, music_store, gelateria, pizzeria, tech_shop, cafe, bookstore, burger_joint, gym, hardware_store, salon, barber_shop : 62714
Saved path: florist, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, clothing_store, tech_shop, cafe, burger_joint, hardware_store, craft_shop, pet_store : 57803
Saved path: bakery, bike_shop, party_store, hardware_store, toy_store, salon, noodle_house, tech_shop, bookstore, dentist, pizzeria, craft_shop, florist, gelateria, pharmacy : 54403
Saved path: bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, pet_store, bookstore, cafe, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop : 56936
Saved path: bakery, party_store, jewelry_store, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, dentist, craft_shop, pet_store, florist, music_store, pharmacy : 53794
Saved path: barber_shop, noodle_house, clothing_store, grocery_store, cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, music_store, pharmacy, bike_shop, jewelry_store : 58529
Saved path: grocery_store, tech_shop, pizzeria, cafe, burger_joint, gym, pet_store, gelateria, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, salon, noodle_house : 60632
Saved path: craft_shop, gym, hardware_store, bookstore, cafe, dentist, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, gelateria, pet_store : 49817
Saved path: dentist, pizzeria, craft_shop, florist, bike_shop, jewelry_store, party_store, hardware_store, toy_store, salon, noodle_house, grocery_store, bookstore, burger_joint, cafe : 56906
Saved path: bank, pet_store, craft_shop, gym, hardware_store, toy_store, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, bakery, pharmacy : 63049
Saved path: bank, florist, pet_store, craft_shop, dentist, cafe, bookstore, burger_joint, hardware_store, toy_store, barber_shop, bakery, party_store, bike_shop, gelateria : 65046
Saved path: tech_shop, dentist, cafe, burger_joint, hardware_store, gym, craft_shop, pet_store, music_store, pharmacy, party_store, jewelry_store, barber_shop, toy_store, grocery_store : 61759
Saved path: craft_shop, gym, burger_joint, bookstore, cafe, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bakery, party_store, jewelry_store, gelateria : 53198
Saved path: gelateria, bank, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, grocery_store, tech_shop, bookstore, burger_joint, dentist, pizzeria : 68925
Saved path: burger_joint, cafe, pizzeria, tech_shop, grocery_store, clothing_store, salon, barber_shop, jewelry_store, party_store, bakery, gelateria, pet_store, craft_shop, gym : 60007
Saved path: noodle_house, salon, barber_shop, bike_shop, bakery, gelateria, bank, florist, pet_store, pizzeria, cafe, burger_joint, bookstore, grocery_store, clothing_store : 60602
Saved path: noodle_house, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, bank, party_store, jewelry_store, bike_shop, gym, toy_store, salon : 70984
Saved path: clothing_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, bank, music_store, florist, hardware_store, bakery, bike_shop, barber_shop, salon, toy_store : 63135
Saved path: pet_store, florist, bank, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym : 60957
Saved path: craft_shop, bank, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, toy_store, hardware_store, bookstore, grocery_store, tech_shop, pizzeria : 69897
Saved path: burger_joint, bookstore, dentist, craft_shop, gelateria, bank, music_store, pharmacy, bakery, party_store, jewelry_store, gym, hardware_store, salon, toy_store : 64550
Saved path: bike_shop, barber_shop, salon, noodle_house, clothing_store, cafe, burger_joint, hardware_store, gym, pizzeria, florist, bank, music_store, pharmacy, bakery : 60057
Saved path: dentist, craft_shop, pet_store, bank, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, bookstore, cafe : 64944
Saved path: grocery_store, tech_shop, bookstore, burger_joint, dentist, pizzeria, craft_shop, pet_store, bank, music_store, pharmacy, bike_shop, jewelry_store, toy_store, noodle_house : 64731
Saved path: gelateria, pharmacy, jewelry_store, barber_shop, noodle_house, clothing_store, tech_shop, cafe, burger_joint, bookstore, dentist, craft_shop, florist, music_store, bank : 61737
