Saved path: craft_shop, pet_store, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house, clothing_store, toy_store, hardware_store, burger_joint, dentist : 61052
Saved path: music_store, florist, pizzeria, dentist, bookstore, tech_shop, clothing_store, noodle_house, toy_store, party_store, jewelry_store, bike_shop, pharmacy, gelateria, bank : 63518
Saved path: music_store, bank, gelateria, pet_store, pizzeria, dentist, tech_shop, grocery_store, clothing_store, salon, barber_shop, hardware_store, bakery, bike_shop, jewelry_store : 70567
Saved path: gelateria, pizzeria, dentist, clothing_store, grocery_store, cafe, burger_joint, hardware_store, salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, bank : 67370
Saved path: tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, bakery, bike_shop, barber_shop, noodle_house, toy_store, burger_joint, clothing_store, grocery_store : 57608
Saved path: clothing_store, grocery_store, tech_shop, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, florist, gym, jewelry_store, party_store, hardware_store, toy_store : 52432
Saved path: jewelry_store, party_store, pharmacy, florist, gym, craft_shop, pizzeria, tech_shop, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop : 59002
Saved path: florist, pet_store, hardware_store, burger_joint, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, bakery, pharmacy, gelateria, bank, music_store : 57592
Saved path: cafe, tech_shop, clothing_store, salon, barber_shop, bakery, jewelry_store, bike_shop, hardware_store, gym, music_store, bank, florist, craft_shop, dentist : 67213
Saved path: pizzeria, dentist, burger_joint, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, music_store, florist, pet_store : 62095
Saved path: hardware_store, burger_joint, bookstore, cafe, tech_shop, dentist, pizzeria, pet_store, florist, pharmacy, jewelry_store, bike_shop, barber_shop, salon, toy_store : 62276
Saved path: florist, music_store, gelateria, pharmacy, bike_shop, barber_shop, salon, noodle_house, clothing_store, toy_store, hardware_store, bookstore, dentist, pizzeria, pet_store : 58404
Saved path: gelateria, party_store, bike_shop, barber_shop, salon, clothing_store, tech_shop, dentist, bookstore, burger_joint, gym, craft_shop, pet_store, florist, music_store : 61431
Saved path: jewelry_store, salon, noodle_house, clothing_store, tech_shop, pizzeria, dentist, cafe, burger_joint, gym, craft_shop, pet_store, florist, music_store, gelateria : 61794
Saved path: barber_shop, salon, toy_store, gym, burger_joint, bookstore, dentist, pizzeria, pet_store, florist, gelateria, pharmacy, bakery, party_store, jewelry_store : 62822
Saved path: pizzeria, dentist, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, bakery, party_store, jewelry_store, pharmacy, florist : 56757
Saved path: gelateria, craft_shop, gym, hardware_store, cafe, tech_shop, clothing_store, noodle_house, salon, barber_shop, bakery, party_store, pharmacy, music_store, bank : 57208
Saved path: bike_shop, jewelry_store, party_store, hardware_store, gym, burger_joint, noodle_house, bookstore, cafe, dentist, craft_shop, pet_store, florist, music_store, gelateria : 59427
Saved path: pet_store, craft_shop, pizzeria, cafe, bookstore, grocery_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, bank, music_store, florist : 69056
Saved path: pizzeria, cafe, clothing_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, music_store, bank, gelateria, pet_store, gym : 70257
Saved path: burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, noodle_house, toy_store, salon, barber_shop, bakery, pharmacy, music_store, craft_shop, gym : 50443
Saved path: bakery, jewelry_store, salon, grocery_store, tech_shop, burger_joint, cafe, dentist, pizzeria, pet_store, bank, music_store, florist, gym, hardware_store : 69624
Saved path: music_store, florist, dentist, cafe, grocery_store, noodle_house, salon, toy_store, burger_joint, party_store, jewelry_store, bike_shop, pharmacy, gelateria, bank : 63427
Saved path: bakery, party_store, pharmacy, florist, pet_store, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop : 53505
Saved path: bakery, gelateria, bank, florist, pizzeria, tech_shop, grocery_store, clothing_store, cafe, bookstore, burger_joint, toy_store, salon, bike_shop, party_store : 62474
Saved path: grocery_store, clothing_store, toy_store, gym, jewelry_store, party_store, pharmacy, bank, gelateria, florist, pet_store, pizzeria, tech_shop, cafe, bookstore : 65764
