Saved path: gelateria, pharmacy, party_store, gym, toy_store, salon, noodle_house, clothing_store, bookstore, dentist, pizzeria, pet_store, florist, music_store, bank : 67387
Saved path: pet_store, florist, music_store, jewelry_store, hardware_store, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria : 59609
Saved path: pharmacy, florist, craft_shop, pizzeria, tech_shop, cafe, bookstore, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, bike_shop, bakery : 42962
Saved path: jewelry_store, party_store, music_store, bank, gelateria, florist, craft_shop, pizzeria, tech_shop, bookstore, burger_joint, noodle_house, toy_store, gym, bike_shop : 64781
Saved path: pet_store, gym, craft_shop, pizzeria, grocery_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, bank, florist : 70810
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, clothing_store, burger_joint, hardware_store, gym, pizzeria, craft_shop, pet_store, gelateria, pharmacy, bakery : 62812
Saved path: bank, music_store, jewelry_store, bike_shop, bakery, toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe, tech_shop, pizzeria, florist, gelateria : 60458
Saved path: barber_shop, salon, noodle_house, grocery_store, tech_shop, dentist, pet_store, gelateria, music_store, florist, gym, bakery, party_store, jewelry_store, bike_shop : 62554
Saved path: pet_store, craft_shop, pizzeria, tech_shop, bookstore, burger_joint, toy_store, clothing_store, noodle_house, barber_shop, jewelry_store, party_store, pharmacy, gelateria, florist : 60082
Saved path: jewelry_store, hardware_store, gym, pet_store, gelateria, music_store, craft_shop, pizzeria, tech_shop, cafe, bookstore, noodle_house, barber_shop, bakery, bike_shop : 63892
Saved path: salon, noodle_house, toy_store, hardware_store, burger_joint, cafe, dentist, craft_shop, pet_store, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop : 54514
Saved path: salon, noodle_house, clothing_store, burger_joint, bookstore, cafe, pizzeria, craft_shop, pet_store, gelateria, music_store, bakery, hardware_store, gym, toy_store : 51744
Saved path: cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, party_store, gelateria, florist, craft_shop, pizzeria, dentist : 52486
Saved path: craft_shop, pizzeria, tech_shop, burger_joint, cafe, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, bakery, pharmacy, hardware_store, gym : 43212
Saved path: gym, florist, music_store, bank, gelateria, bike_shop, jewelry_store, bakery, barber_shop, clothing_store, tech_shop, pizzeria, dentist, burger_joint, hardware_store : 68813
Saved path: tech_shop, grocery_store, noodle_house, salon, toy_store, hardware_store, party_store, jewelry_store, bakery, pharmacy, pet_store, pizzeria, dentist, bookstore, burger_joint : 60457
Saved path: salon, barber_shop, jewelry_store, pharmacy, music_store, bank, gelateria, florist, pet_store, pizzeria, gym, burger_joint, grocery_store, clothing_store, toy_store : 70514
Saved path: party_store, jewelry_store, bike_shop, hardware_store, salon, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, cafe, dentist, craft_shop, florist, pharmacy : 53528
Saved path: barber_shop, noodle_house, grocery_store, tech_shop, dentist, pizzeria, craft_shop, gym, pet_store, florist, music_store, bank, gelateria, pharmacy, bakery : 58582
Saved path: party_store, bakery, gym, burger_joint, bookstore, noodle_house, clothing_store, cafe, dentist, pizzeria, craft_shop, florist, gelateria, music_store, pharmacy : 51140
Saved path: clothing_store, noodle_house, barber_shop, jewelry_store, pharmacy, gelateria, florist, pet_store, craft_shop, gym, bookstore, cafe, dentist, tech_shop, grocery_store : 58397
Saved path: barber_shop, salon, toy_store, noodle_house, clothing_store, bookstore, tech_shop, pizzeria, pet_store, gelateria, music_store, pharmacy, party_store, jewelry_store, bike_shop : 63381
Saved path: party_store, bike_shop, barber_shop, noodle_house, clothing_store, bookstore, tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria, florist, gym, hardware_store : 67812
Saved path: music_store, jewelry_store, party_store, bakery, hardware_store, toy_store, salon, noodle_house, clothing_store, grocery_store, pizzeria, craft_shop, pet_store, gelateria, bank : 64604
Saved path: pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, hardware_store, party_store, jewelry_store, bakery, pharmacy, gelateria, music_store : 56551
Saved path: noodle_house, salon, toy_store, burger_joint, bike_shop, party_store, bakery, pharmacy, gelateria, florist, pet_store, craft_shop, dentist, cafe, tech_shop : 54305
Saved path: noodle_house, grocery_store, tech_shop, cafe, burger_joint, dentist, pizzeria, craft_shop, gelateria, bank, pharmacy, jewelry_store, bike_shop, barber_shop, salon : 65831
Saved path: florist, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, noodle_house, clothing_store, tech_shop, burger_joint, hardware_store, gym, craft_shop, pet_store : 55365
Saved path: salon, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, dentist, pizzeria, florist, gelateria, pharmacy, party_store, bakery, barber_shop : 53357
Saved path: bookstore, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy, gelateria, music_store, florist, pizzeria, burger_joint : 59403
Saved path: craft_shop, pizzeria, dentist, bookstore, cafe, tech_shop, clothing_store, noodle_house, salon, barber_shop, bike_shop, bakery, bank, florist, pet_store : 61631
Saved path: bank, florist, pet_store, pizzeria, dentist, bookstore, tech_shop, grocery_store, noodle_house, toy_store, hardware_store, barber_shop, bike_shop, pharmacy, gelateria : 65879
Saved path: noodle_house, salon, barber_shop, jewelry_store, pharmacy, music_store, pet_store, gym, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, clothing_store : 64372
Saved path: bookstore, burger_joint, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, dentist : 69378
Saved path: hardware_store, gym, pizzeria, dentist, craft_shop, pet_store, bank, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store : 67237
Saved path: barber_shop, bike_shop, jewelry_store, music_store, bank, gelateria, pet_store, craft_shop, gym, hardware_store, bookstore, dentist, tech_shop, grocery_store, clothing_store : 70450
Saved path: clothing_store, grocery_store, bookstore, tech_shop, pizzeria, craft_shop, gym, pet_store, music_store, pharmacy, bike_shop, jewelry_store, barber_shop, salon, noodle_house : 63765
Saved path: pharmacy, party_store, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, cafe, bookstore, burger_joint, gym, pet_store, bank, gelateria : 59589
Saved path: bookstore, burger_joint, toy_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, bank, gelateria, pizzeria, tech_shop, grocery_store, cafe : 62633
Saved path: cafe, bookstore, grocery_store, noodle_house, toy_store, salon, barber_shop, bakery, gym, florist, bank, pet_store, craft_shop, pizzeria, tech_shop : 60707
Saved path: burger_joint, cafe, dentist, pizzeria, craft_shop, gym, pet_store, florist, music_store, pharmacy, bakery, bike_shop, barber_shop, salon, noodle_house : 53817
Saved path: gelateria, bike_shop, jewelry_store, barber_shop, noodle_house, toy_store, burger_joint, bookstore, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, bank : 69935
Saved path: cafe, burger_joint, bookstore, craft_shop, florist, gelateria, pharmacy, bakery, party_store, jewelry_store, salon, toy_store, noodle_house, clothing_store, tech_shop : 49755
Saved path: gym, craft_shop, pizzeria, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, music_store : 59958
Saved path: bank, music_store, pharmacy, bakery, party_store, barber_shop, salon, grocery_store, tech_shop, bookstore, hardware_store, gym, pet_store, florist, gelateria : 62357
Saved path: tech_shop, grocery_store, clothing_store, salon, jewelry_store, party_store, bike_shop, music_store, gelateria, florist, craft_shop, pizzeria, dentist, bookstore, cafe : 58606
Saved path: bookstore, dentist, pizzeria, craft_shop, florist, music_store, gelateria, jewelry_store, party_store, gym, hardware_store, salon, noodle_house, clothing_store, tech_shop : 61298
Saved path: clothing_store, grocery_store, cafe, dentist, craft_shop, pet_store, gelateria, bank, music_store, bike_shop, jewelry_store, party_store, hardware_store, burger_joint, noodle_house : 61347
Saved path: music_store, gelateria, florist, pet_store, pizzeria, tech_shop, cafe, bookstore, burger_joint, clothing_store, noodle_house, salon, hardware_store, party_store, jewelry_store : 61747
Saved path: florist, pet_store, craft_shop, pizzeria, dentist, cafe, burger_joint, bookstore, tech_shop, clothing_store, noodle_house, salon, toy_store, party_store, gym : 57050
Saved path: barber_shop, jewelry_store, bike_shop, bakery, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, grocery_store, clothing_store, noodle_house, toy_store : 64667
Saved path: bank, music_store, craft_shop, pizzeria, dentist, cafe, bookstore, noodle_house, salon, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, gelateria : 65293
Saved path: barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, cafe, burger_joint, hardware_store, gym, craft_shop, pizzeria, bank, bike_shop, jewelry_store : 70315
Saved path: noodle_house, tech_shop, dentist, cafe, hardware_store, gym, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop : 60234
Saved path: barber_shop, salon, toy_store, grocery_store, tech_shop, cafe, bookstore, gym, craft_shop, pet_store, gelateria, music_store, bakery, party_store, bike_shop : 54894
Saved path: hardware_store, craft_shop, pet_store, gelateria, music_store, pharmacy, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint : 45618
Saved path: gelateria, bank, music_store, florist, pizzeria, dentist, tech_shop, clothing_store, cafe, bookstore, hardware_store, salon, barber_shop, bike_shop, bakery : 61390
Saved path: clothing_store, noodle_house, salon, hardware_store, jewelry_store, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store, bookstore, burger_joint, toy_store : 61566
Saved path: cafe, dentist, craft_shop, pet_store, florist, music_store, bakery, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, bookstore, burger_joint : 49201
Saved path: hardware_store, toy_store, noodle_house, clothing_store, cafe, bookstore, pet_store, florist, gelateria, bank, pharmacy, bakery, jewelry_store, bike_shop, barber_shop : 65774
Saved path: grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, hardware_store, gym, pet_store, music_store, florist, craft_shop, pizzeria, dentist, bookstore : 64828
Saved path: tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, bakery, jewelry_store, party_store, hardware_store, barber_shop, noodle_house, clothing_store, grocery_store : 65224
Saved path: bookstore, burger_joint, salon, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, music_store, bank, pet_store, craft_shop, pizzeria, tech_shop, cafe : 65952
Saved path: party_store, jewelry_store, bike_shop, gym, hardware_store, salon, noodle_house, grocery_store, bookstore, burger_joint, dentist, pizzeria, craft_shop, gelateria, pharmacy : 60621
Saved path: grocery_store, noodle_house, salon, jewelry_store, party_store, bike_shop, bakery, hardware_store, gym, florist, pet_store, craft_shop, dentist, burger_joint, cafe : 56714
Saved path: tech_shop, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery, music_store, bank, florist, pet_store, craft_shop, bookstore, burger_joint, cafe : 65229
Saved path: bookstore, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, craft_shop : 49890
Saved path: pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, salon, gym, bike_shop, party_store, pharmacy, music_store, gelateria, florist, craft_shop : 55444
Saved path: florist, gelateria, music_store, pharmacy, hardware_store, bakery, barber_shop, salon, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, pet_store : 51160
Saved path: bakery, party_store, barber_shop, salon, toy_store, noodle_house, clothing_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria : 63073
Saved path: salon, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, bank, pet_store, pizzeria, gym, hardware_store, burger_joint, cafe, clothing_store, toy_store : 71357
Saved path: gelateria, pharmacy, jewelry_store, salon, toy_store, tech_shop, pizzeria, dentist, cafe, burger_joint, gym, pet_store, florist, music_store, bank : 69594
Saved path: music_store, florist, craft_shop, pizzeria, tech_shop, clothing_store, bookstore, gym, hardware_store, barber_shop, jewelry_store, bakery, pharmacy, gelateria, bank : 66820
Saved path: cafe, bookstore, noodle_house, tech_shop, pizzeria, florist, music_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store, hardware_store, gym, burger_joint : 55672
Saved path: pet_store, florist, hardware_store, party_store, bakery, barber_shop, salon, noodle_house, clothing_store, toy_store, burger_joint, cafe, dentist, pizzeria, craft_shop : 56351
Saved path: bookstore, burger_joint, gym, craft_shop, pet_store, bank, pharmacy, jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store, tech_shop, pizzeria : 71440
Saved path: bike_shop, jewelry_store, music_store, bank, gelateria, florist, pizzeria, dentist, bookstore, tech_shop, grocery_store, noodle_house, salon, toy_store, gym : 69219
